被爱才能像小孩像被人爱04小碗广州: 爱才能像小孩像被人爱04小碗广州
？在时代，许多人都为创造出来的作品感到惊叹，以及很多生成插画和图片的工具和软件，不仅为我们带来了惊喜，最近学姐刷到一很多用的制作怪诞图片，已经被以假乱真的效果给震惊到了大家觉得在未来的某一刻，是否会取代设计师呢？: 制作怪诞图片震惊学姐,是否会取代设计师?
停止实验，马斯克认为4是界限。其实马斯克一直在强调的风险。网友说现在有点儿像一个好奇心很强的孩子拿着一个打火机蹲在油库门口，: 马斯克停止实验,强调风险
苹果库克在没有乔布斯的生活开始时，也就是成为后的6周时间里，我只是感到完全的崩溃和空虚。但随后我很快就意识到，我不可能成为乔布斯，他所拥有的创造力是百年一遇的天赋，所以我要做的就是成为最好的自己。另外，对于外界批评库克的声音他自己也知道，库克找到了许多放松大脑的方法，例如从苹果总部的环形玻璃向外环顾，想象自己就像在外面一样。库克同时也是户外运动的爱好者，喜欢骑车、爬山。什么时候信号做得更好，快充功率大点？库克是否知道这些大家的诉求: 库克的自我批评与放松大脑的方法,以及从苹果总部的环形玻璃向外环顾的方式。
华为官网更新了孟晚舟担任轮值董事长的公告，同时孟晚舟的个人信息和照片也进行了更新: 孟晚舟任轮值董事长的公告更新
俄罗斯花滑运动员卡米拉瓦利耶娃卡米拉@卡米拉宣布入驻微博[哇][哇]未来宝会在微博分享更多精彩的图片和视频，期待！卡米拉: 俄罗斯花滑运动员卡米拉入驻微博
3月29日，上千科技大佬发出的一封呼吁暂停训练比4更强大系统的公开信，让有关风险的议题走到了聚光灯下。一石激起千层浪，来自各方呼吁监管的声音也变得越来越响亮。3月31日，意大利率先禁止使用。一方面是各国机构在加紧制定关于的监管措施，另一方面，也正在以超乎人类想象的速度发展着。3月28日，据外媒报道，比利时三十岁男子在与一个名为的聊天机器人密集交流数周后自杀身亡。自发布以来，从新版必应翻车到4被曝制定外逃计划，关于产生自我意识的讨论已经屡见不鲜，但一直没有定论。然而近日，包括的首席执行官在内的大佬都发出了警示消灭人类并非空谈。3月28日，360集团创始人周鸿祎也表示，一定会产生自我意识，留给人类的时间不多了。月28日，360集团创始人周鸿祎也表示，（嘉玛）: 科技大佬呼吁暂停训练比4更强大系统,周鸿祎表示一定会产生自我意识,意大利率先禁止使用。
作为一名站，要不是我有别的工作养着[苦涩]光做视频确实生存不下去（当然也有我做不好的原因）所以我是幸运的: 作为一名视频站员,幸运地选择光做视频。
很多人不懂基本的逻辑。马云搭建了淘宝店的平台，让很多人做生意赚钱，这是好事啊。但是，有些人在淘宝上卖假货，做生意不实诚，但你不能怨马云啊。马云没有让他们卖假货啊。以前你们村不通路，马云修了一条路，可是你娃在这条路上摔了一跤，你就骂马云修这条路。凡是上过小学的人，都不会这样思考。: 马云搭建淘宝店平台,但不能怨马云,没有让他们卖假货。
其公开信说让品牌店退拼多多、回归某某平台究意何意？: 企业公开信反对品牌店退平台,引发质疑。
人在做天在看，不爽我直接找我讲行不行，我扪心自问没在微博招惹过谁，你玩见不得光这一套真恶心，盯着我有意思吗请问: 在天在看,自问微博惹谁惹过谁
2档性能天花板，旗舰体验全面领先！: 高档性能天花板,旗舰体验领先。
马斯克妈妈的中国行是为了她的新书人生由我 ，没想到她的售书会声势这么浩大，看来她儿子的中国粉丝真的不少啊。酱: 马斯克母亲的中国行,售书会声势浩大,中国粉丝不少。
画图神奇使用指南和指令大全: 神奇使用指南和指令大全
这个不是把推荐算法代码开源了嘛，有人发现: 推荐算法代码开源
球球一些在拼夕夕上买的好物: 球球拼夕夕买的好物
老马在以色列的演讲，掌声雷动。: 马马在以色列演讲雷动
库克不希望用户过度沉浸: 库克不希望用户过度沉浸
大哥说让我好好更新大众点评，让商家免费请我吃饭，然后带上她: 大哥建议免费请商家吃饭
你是真不要脸啊，你怎么好意思说这话的。用户就说了一句一点都不好，我也联系买家了，买家没回。结果隔了半个月你就扣我三块钱。你们什么时候解决乱扣费再张嘴声明吧: 用户乱扣费遭投诉,需再声明。
孟晚舟批评余承东这个谣言竟然有人信: 余承东被批评引谣言
你们说如果余承东在华为干不下去了，会不会去小米求职，加入复仇者联盟，跟着雷军做汽车[笑]: 余承东或加入复仇者联盟,跟着雷军做汽车。
如果机器人开始对你表现出愤怒 还记得那款来自英国的超拟真机器人吗？昨天开始，它更是搭载了3，来帮助表现自己的情绪。如今的它，不仅仅是外形逼真，还有自己的记忆，连续的思考能力，以及与真人无二的情绪精选: 超拟真机器人帮助表现情绪。
怀疑有人给我买粉了！自从前段时间上过一次热门后每天随机不定时涨500到1000粉，不是很规律还算合理，但最近开始每天固定涨粉一千零几十个，而且都是在0点到上午9点这段时间新增的，不管是谁请停止这样的操作，虽然涨粉很让人开心，但我不喜欢弄虚作假糊弄人，我只对真实数据感兴趣！[老师好][老师好][老师好]: 涨粉新操作,喜欢弄虚作假。
能把一个上市公司变成玩具，想咋玩就咋玩的，应该只有马斯克一人了吧。感觉一年后，推的财报要是不好看，老马得被踢出董事会。: 马斯克被踢出董事会
拼多多保护消费者遭攻击: 遭受攻击的拼多多保护消费者。
泰山财经@泰山财经泰山财经: 泰山财经微博直播
于东来加班就是不行，是不道德，无耻，人生不止挣钱，还有生活，娱乐。: 孟东东加班是不道德的无耻。
最近关注到炸店事件，怎么合规经营的商家成了被坑害的对象，正常的消费者成为了被攻击的对象。这波拼多多其实遭受了无妄之灾，商家和平台二者本是互惠共生的合作关系，怎么可能是有心人揣测的对立关系。: 商家和平台互惠互利,导致拼多多遭受无妄之灾。
确实不太理解阿这几年的操作，这个氛围特别不好。本人8位数1打头满级，不知道有没有资格评价这件事。首先老的资源，推送，非常的差劲，主页连我自己关注的都很少刷到，后台推送也时常不推。大家都是因为热爱才聚集到一起，输出也是内容为主，评论什么的也是很友好很有内容，后来资本介入，为了票子逐渐商业化，都可以理解，最早肉眼可见的资源变好，动漫，电影，剧集等也引进了很多。后来短视频热潮追捧明星效益，大量新人融入，而这样视频又省时又省力，几分钟的视频数据比几十分钟精心剪辑的视频数据还要好，票子也更多，开始越来越多的人走向这条路。坚持热爱内容的逐渐被摒弃，被淡忘，被阿不重视。说起四大欠王不知道现在还有多少小伙伴知道，但属实是回忆杀了，现在翻唱教英语，在学习治病救人，在坚持直播游戏，在沉迷桌游，我都在关注，数据都不是很好，路人算是转型不错的，都被这样对待，可想而知其他的老了。老菊是我最喜欢的，在短视频遍地的现在，坚持长视频内容输出，坚持自己，已经是间了不起的事，22年拿到百大感觉是阿在特意安慰老一样。像菌，狐狸，陆夫人等数据低的厉害。当把热爱变现，能变现多少，能坚持多久。如果执意成为洪流中的一个，成为快消品，那你也就不是唯一的选择。老老用户，被消耗殆尽，你的优势被消磨，那一定要选择你的理由还会是什么？能带来利益的值得被重视，那些人何尝不是从无到有，一起走过来的。弹幕礼仪，评论礼仪，全无。官方引战频频。不重视，不作为，希望所有老用爱发电。很多无意义的入驻阿很多乱透的活动不通知临时变动临时加项直播环境也非常糟糕等等等等说的不全面，也比较乱，因为都是个人的体会和感受，平时主要看游戏区，直播，看番，几年前也看音乐区听翻唱，当时满汉还是领头。停更潮我没太关注，看了老大的长文就想跟着说说而已。希望所有的，用户越来越好，希望阿越来越好。: 理解阿里的操作,坚持短视频内容输出,关注粉丝和口碑。
大家合理规范点转评。不要刷屏。昨天晚上连续扣除信用积分。目前微博还可以发，如果再被扣除可能要有封号的风险。积攒下来的信用积分，几天扣去了30信用积分，正常的点转评可以了。微博的互动不是谁评论得多，谁的互动就多。浏览历史是一种互动，同样也可以学到知识，不一定要赞转评，望理解[作揖]合理消费，拒绝报复性消费。为了不被刷屏，把互动量扩大到100名入群。大家迫切的心情我能理解。: 合理规范点转评,避免刷屏。
卢伟冰无需定语，只用25小时，刷新业界2023全天记录。徐起我只需一个小时卢伟冰评论区卢总，你的门又没有焊住，又被友商射穿了。。。。。。如果是你，你会选12呢？还是选择5呢？: 卢伟冰25小时刷新记录,你会选择12还是5?
好家伙，余承东离职华为，加入小米的言论都出来了？: 余承东离职,华为何去何从?
微信键盘官方页面上线，版已经开放下载，版还得再等等。: 键盘官方页面上线版开放下载
尊敬的曹国伟@曹国伟先生您好！姨娘专属@姨娘专属用户本月严格遵守网络规则，无不良操作，希望给我恢复。恢复，恢复本人至始至终都是守法积极向上的五好青年，从未发表激进言论。传播世界和平与爱，日行一善积善成德，我始终谨记在心。希望您能给我一个上的机会我一定会好好珍惜好好把握每一个让大家倾听我发言的机会传播真善美共同营造一个和谐美满的社会氛围，谢谢！曹国伟@曹国伟同时为表达对您的极大尊敬和支持，特此说明如下。第一，该用户积极参加公益活动，积极捐款，关爱大自然，关爱动物，积极传播人地和谐的理念，做到共融共生第二，该用户主动参加每日一善活动，秉承以爱国主义为核心的民族精神和已科技创新为的时代精神，以个人博爱传播和善精神，积极营造清宜和谐的网络氛围第三，该用户与微博其他用户和谐共处，互敬互爱第四，该用户并没有参与任何网络传销活动，不扯皮也不讹诈。该用户活跃，已更新100微博，积极与他人互动因此，希望曹国伟@曹国伟微博客服@微博客服，恢复本人，谢谢合作，祝您生活愉快。申请人姨娘专属@姨娘专属申请日期2023年4月4日: 姨娘专属用户声明,呼吁遵守网络规则,积极捐款、关爱大自然,并恢复个人博爱传播和善精神。
为什么不能用写作业交报告，因为他胡说八道的时候特别像真的，你如果交上去，你导师或老板能一眼识破还好，如果不能的话，到时候麻烦就不是普通级的，你会死的很惨的: 不要用写作业交报告,因为胡说八道时特别像真的。
观点 最近网上流传了这样一张图，可能乍一看，给人的感觉是三大运营商从3到4到5，只是把管道给修的更宽了，但实际上，给用户提供的网速并没有增加多少。这图其实是有很大的误导性，甚至欺骗性的！3时代平均网速是在5到8左右，4时代平均网速一般在40到50，而5时代现在的平均网速是在300到500，以后还会更快，这网速是用户实实在在能够得到的网速，所以运营商的管道修的越来越宽，同时给予客户提供的网速也是成倍的增长，那么，为何图中的水流好像没增长？其实这水流代表的应该是，主要是在于应用侧，尤其是从4到5时代，虽然网速快了很多，但实际你手机里的应用并没有发生什么变化，还是刷微信，刷微博，刷抖音，刷头条，还是打王者荣耀这些游戏，所以内容没有太大变化，里面的水流自然还和原来差不多，其实也是体现了目前5网络很多带宽资源是闲置的，并没有发挥出其网速快的优势。期待元宇宙的爆发！: 运营商管道修的越来越宽,但用户提供的网速并没有增长,存在误导性。
那个经常在各个博主评论区活跃的由趣官博，因为换了运营，引起了很大的争议，现在官博已道歉，大家接受吗？: 由趣官博因更换运营引争议,道歉接受吗?
人工只能导致的失业大军正在一步一步实现我的某大厂对自己职业的担忧[笑][笑][笑]: 失业大军对职业的担忧
湾鳄小河還有後面的回覆是這樣的（等級太低沒辦法在評論發照片）我真的好開心，但也很後悔一直到今天才想到進這個臉書社團發文: 湾鳄小河回覆是假的
腾讯大虐再不上剧，优酷马上反超了！: 腾讯大虐剧,优酷反超
推特的小蓝鸟被换成了引起了热议: 小蓝鸟被换引热议
鼓励大家积极和我互动一会，眼熟的更多了，铁粉金粉也更多了，夸夸: 鼓励互动,夸夸铁粉和金粉
孟晚舟余承东造车计划严重违背华为战略，如不思悔改将被开除！现在的媒体真是捕风捉影的起个标题骗流量，如果华为没有余大嘴将是一大损失吧！: 余承东造车违背华为战略,媒体捕风捉影。华为若无余大嘴将损失巨大。
突然发现美团已经登岛了，可以很直观地看见点的外卖还有多久到了。这也太实用了，你们更新了没？: 美团已登岛,外卖更新实用。
华为这个模式，我希望是中国未来企业的标杆模板: 华为模式是中国企业标杆模板
峰哥认为站主发起停更潮的主要原因是站的大多数主脸皮太薄了。接不到商业广告，可以直接向粉丝要钱，好死不如赖活着，中国人的核心信仰就是活着，活不下去就张嘴要，主管粉丝要钱，不丢人。: 峰哥批评站主停更,核心信仰是活着,主管粉丝要钱,不丢人。
1976年4月1日，苹果公司宣布成立2023年4月1日，今天苹果已经47岁了苹果距离成为百年企业还有53年你对苹果这家公司的看法是什么？有钱？会做生意？高级？[佩奇]: 苹果公司成立2023年,苹果已47岁。
3月互动榜虽迟但到，有你吗？下个月记得继续多多互动呀[开学季][开学季]: 3月互动榜发布,关注互动。
在一家游戏美术外包公司担任技术总监的启强向时代财经@时代财经透露，近一个月来，其所在公司已经裁掉了一半的原画师。原画师利用完成方案，工作效率至少能提升50以上，本来就在减少的甲方需求迅速被消化完。之前我们公司需要38个原画师，现在已经裁掉了20个人。时代财经: 游戏美术外包公司裁掉原画师
其实不稀奇，上线的时候我就说了，洗稿的都得死。而我这种基于自己的洞察，谈论未来的内容，是没办法洗稿的。但是我也更的很少，因为虽然我不洗稿，但是我有个更可怕的问题懒。: 洗稿的得死,懒的懒。
保有好奇心，不随便定义未了解事物，不想当然，对一个已经成功的人来说太难了，因为这等于否定自己，承认自己不够聪明。在所有互联网大佬中，我更看好马云是因为10年前的一件事，他去王林家做客。2013年，马云已经很成功了，他依然对三教九流保有好奇心。洪攻略思维中强调跟随聪明的钱，其中一层意思是强调投资中要承认自己不够聪明，才肯认错，能做到眼见为实。: 互联网大佬看好马云,强调跟随聪明的钱,投资要承认自己不够聪明,才肯认错。
上个月一分没给我涨，这个月终于给我动了[送花花][送花花]所以和好友互发和是非常有用的，但是这个社会关系为什么一动不动，自我感觉社会关系良好所以为什么不动一动，这个月继续坚持互发和，期望下个月给我变极好，非常谢谢[苦涩][苦涩][苦涩]: 社会关系良好,坚持互发和,期待下个月变好。
大家的微信昵称叫什么: 微信昵称叫什么
什么东西跟你光头沾上边就会变得特别离谱。我会直接找淘宝平台客服去处理。: 淘宝客服处理光头问题
————李彦宏百度创始人@李彦宏百度创始人: 李彦宏百度创始人声明
大科技分为几大领域。微软，英伟达，360，百度文心一言延伸到后面的华为大盘古，腾讯模型，阿里分拆上市，京东分拆上市，大科技浪潮一浪接一浪。今年截至目前摘帽的表现一般。下周有三家摘帽，像往年在三月到四月之间，这个时候会有很多的盖帽和很多的带帽。因为注册制全面实施，不让连板，市场自然就少了很多的持续性热点。按照以前的玩法，暂时需要一些改进。不能固守。需要主动出击寻找合适的方向和机会。: 科技领域摘帽表现一般,下周有三家摘帽,注册制全面实施,市场少了很多持续性热点。需要主动出击,寻找合适的方向和机会。
马斯克这身打扮好浮夸。: 马斯克打扮浮夸
因为看到路人那条揭露，有一些无直接关联的用户感想。过去12年间，站用得可以说是不太开心。基于以下几点1新番因为要拿审批号，不再是同步放送了。站可能仍是最大的正版追番平台，但实质上不再是可用的追番平台了。2作为老二刺螈，大数据也不愿意记住我的喜好。我是非常依赖首页推送的用户，因为现在有很多新涌现的、专注于某一细分领域的优质主，我都支持他们所以关注得很多，但大部分都不是期期都看，所以首页的今日榜单和推送对我的体验影响很大。我关注的、从以前一直在看的主的视频或兴趣内容得不到推送，而同样是没什么播放量的内容，明明不是我的兴趣领域，却会频繁出现在首页。有时我会对其中一两条有兴趣，这种点击倒是记录得很快，马上又是一堆相似视频刷屏。3我会员早就续到了2025年，但连续2年未续费，去年不续费是因为我注意到条款里每月赠送10张漫画通用券缩减到了5张，难以理解的吝啬行为。4网页又在进行愚蠢的改版。我是不懂这一行都是干什么吃的，为什么这么多互联网大厂招来的人才都喜欢把越改越烂？变得难用这件事背后，难道蕴含着什么商业驱动力吗？我都怀疑人生了。: 用户吐槽站使用情况,关注榜单和推送影响很大。
继续更新马斯克妈妈的中国行之前发了广州、厦门、成都、苏州、上海这次是武汉、上海黑色这套太有腔调了两周旅行结束: 马斯克中国行发车地点确定,武汉、上海黑色。
罗永浩直播间卖商用卫星，没想到是真的这波真的被秀到了叶文洁买走了罗永浩直播间卫星！喊话叶文洁不要用来联系外星人！哈哈哈这是什么梦幻联动啊！[送花花]: 罗永浩直播间卖卫星,被叶文洁买走,喊话不要联系外星人。
虽然不知道发生了什么事，但如果是又糊又蹭的那种，像去年十一月份那样红黑俱灭即可来动手设置一下屏蔽词: 动手设置屏蔽词
我的走上正轨了[苦涩][苦涩][苦涩]流量高到吓人: 踏上正轨,流量高到吓人
哈哈哈哈哈哈哈哈哈哈哈收了！谢谢！！！十万粉就换这图做头像！！: 10万粉换头像
再也不敢随便把照片到网上去了: 禁止照片网上传播
续上一条微博顺便多聊两句，其实这个站砍激励收益啥对我来说真的不是啥事儿，大家也不用心疼啥的。近几年对我来说还是疫情的影响更大一些，之前工作的时候其实有机会调到新加坡分部去（这个老粉应该有印象），结果疫情来了直接告吹。如果当时真的去了，我估计也不会辞职自己干了（或者直接变成生活区？）。还有就是之前在做的日本民宿小副业，我做的主要就是去日本玩的中国人的生意，结果也是疫情来了直接寄，白交几年房产税。人生么就是不停的折腾，把自己能做好的部分做好就完事儿了，剩下的随意。就比如你打斗技打冲浪，你翻牌完全压制，操作全正确，结果对面晴明晕5个，那就赶紧下一把吧。: 疫情对中国人影响更大,辞职去日本民宿小副业做生意,结果寄白交房产税。
孟舟晚又到要美国出差，很网多友为她捏一了把汗！可晚孟舟却回应称随法着官批准检的方撤诉申请，我个的人案件上画句号。目前止为华为进入全球170个市场，从华为2022年报度告显示华为在2022年体整经营平衡，实了现全销球售收入6423亿民人币，净利润356亿民人币。只是网们友担心和国美讲诚信，那靠是不住的！你去说不去得？: 孟舟撤诉孟舟申请,华为进入全球170个市场,净赚356亿。网友们担心和国美讲诚信。
补偿没有找到新职位的员工将获得最多4个月的工资: 补偿未找到新职位员工最多可获4个月工资
新东方石明大漂亮回西安了，闲聊几句。我一直拒绝去某音、头条。一来，是因为认可超话的机制，还有人管，写一些有的没的，纯粹是娱乐。二来，是因为我害怕，要知道，即便是在超话里自娱自乐，总也有人上门来、搬出去臆淫，更何况是言论自由的平台。我以为，不与盲夫语光，不与凡子语道，道理是讲给明理的人听的，你跟那些缺乏理智的人讲理，就是对牛谈情，还生气，非常划不来。每个人都有自己喜欢的方式，每个人也都有自己的坚持。在这个纷杂的网络世界里，到处散落着信息，我也只挑选一些我愿意看到的，这或许是一种福气，不是我无感，而是我的一种选择。经常看到有关心的朋友在评论区留言，会讲到在哪里看到不友好的评论，然后战斗不息身心俱疲的样子。说实话，我都不知道该说啥。这是个非常神奇的世界，谁都可以拿起键盘指点江山，他们是绊脚石，他们就像无头苍蝇一样，充斥着你看到的世界，萦绕在你耳边、眼前，让你心烦，虽然你孔武有力，手持利剑，却又抓不着他们。而就算你兵不血刃，拍下几只来，又会飞来一万八千只。所以，你准备好了吗？如果你不堪其扰，不甚其烦，我就劝你护住自己的眼睛，找一片清净的地方，两耳不闻窗外事，余心只织网。如果你准备好了，要执枪仗剑负重前行，那我佩服你，你是勇敢的人，也许你并不孤单，但你要忍受人声鼎沸，你一定要坚强，你一定要挺住。窗外，树欲静而风不止，我选择坚守超话，默默的陪伴，一切让时间给出答案。他，一直在发光。: 东方石明,拒绝去某音、头条,坚持超话,同时支持支持自己。
把上市公司当成玩具，估计也只有马斯克干的出来他是懂互联网的，先自己炒作一波再说: 马斯克将上市公司当玩具
自媒体系列干货2如何源源不断拥有灵感 1，把你见到的每个人、听到的每个故事都写下来，然后以时间、故事、感受的形式写在朋友圈，或者发在微博上。2，不放弃脑子中点滴的灵感，哪怕是深夜醒来飘来的一句话。3，结交生活中有趣的朋友，打开对生活的热情与好奇心。附上我周末吃饭抓拍的照片嘻嘻。生活随时可以记录。: 推荐阅读:媒体系列干货2如何源源不断拥有灵感。
站不赚钱很正常，本来目标用户就是身上没几个字儿的穷学生。而我在他们之中就更了，我甚至连免费的硬币都不愿意花。[兔子]: 站站不赚钱很正常,目标用户是穷学生,免费硬币也不愿意花。
3月互动榜揭榜了都是你们最爱的上海: 上海互动榜揭榜
3粉丝互动榜来啦老规矩！！！上榜的宝子速速私信我领奖下个月继续互动起来呀！: 粉丝互动榜,宝子速速私信领奖。
这个事情多说两句。华为为什么不造车？其实任总三番五次的说明已经非常清楚了。那就是不想不能不应该去占领车的市场，众所周知华为的研发实力和执行力都是强得可怕，冲进一个行业后，友商往往闻风丧胆，以至于只有美国政府才能减缓华为的进军步伐，但目前看来也只是减缓。所以华为亲自造车这个说法，对整个汽车行业来说都有压力的。汽车这种资本密集、技术密集、劳动力密集型的产业，吸收了太多就业也牵扯了太多现有的利益格局，也正是因为其劳动力和技术密集的特性，使得很多汽车品牌不仅是个单纯挣钱缴税的市场主体，还对所在地区域的民生经济产生了重多重要的正外部性，是哪个区域行政主管都不希望丢掉的核心产业——并不是所有的利益格局都是落后的都是要去打破的。比如慕尼黑的劳动力70和有关，你要是把给冲了，会带来什么后果？那换成国内的厂商呢？稍微想一想？反过来，华为的产业到底有多大了，还该不该再扩展门类了？别看营收数字上不大，这两年受到美匪制裁还收缩了，但华为的产业其实都是某个行业的基础设施。比如中运营商设备，那就是信息高速公路本路比如已经是第一的光伏比如高速发展的华为云业务。企业本身也是有边界的。业内你不能垄断，跨行业也不能跨得太多。从业务门类看，华为至少已经是爱立信思科谷歌苹果甚至的总和了，如果做车，公众和其他利益集团如何看待这家攻无不克战无不胜的公司？再说说终端在华为集团中的历史使命。终端尤其是手机，可以说是非常核心的业务，作为人人必备的数字世界入口，作为华为业务端倒云再到端的另一个端，是具有重大战略意义的，是华为构建建立万物互联的数字世界中连接每个人的设备。所以把现有的手机业务做好，并且积极规划未来的智能终端形态，争取成为下一代智能终端设备的领头羊先行者，思考如何让更多人通过华为终端设备接入万物互联的数字世界 ——应该是终端的主要任务目标。如果还不明白，看一下华为的管理层各位大佬在集团中主要负责的业务就知道了。终端，因为做消费者业务，所以日常存在感会远大于其他，但说到底，也是华为众多中的一员。感慨一下，华为真大。从过去终端的高速发展历程看，终端的成功离不开集团的大力支持。海思也好、2012实验室软硬工院、产品，其实都是华为终端成功的根本推动力之一。如果各位眼力劲再好一点，看看小徐总7天前发布的那条——华为和伙伴一起共同打造了14以上工艺所需工具，基本实现了14以上工具国产化，2023年将完成对其全面验证的消息，也应该明白集团对于终端的根本性支撑作用。如果哪天华为5手机回来了，说的是如果，那也是依托华为集团、行业伙伴和国家的支持而实现的，而不是终端一己之力办成的。同理，终端如果想要下场造车，也必须得到集团的支持。所以我不负责任地猜测，华为亲自造车这个事情，恐怕真得继续延后了。至于好坏利弊，我没有能力去做分析，我选择相信华为领导集体的智慧。深圳: 华为终端产业受美制裁,但行业基础深厚,行业前景广阔。
下午去朋友的直播公司逛了逛这几年株洲的线上发展的很好诶！！没想到一个简简单单的直播间爆发力那么强一个款推爆以后，一天能卖几万件之前我家服装厂都是给线下实体批发供货，现在全部都是给抖音做货了[笑]: 株洲线上直播爆发,一天能卖几万件。
4月2号的根据描述找视频我们有口福了一个姐妹的投稿[送花花][送花花][送花花]个感觉有点危险，还是放起来吧: 姐妹投稿视频危险
关于店铺的服务整顿！我是，临时接管，店铺客服管理。因为店铺管理人员的失误，前几天才知道原来外包客服回复了大家80多的消息。也就是说大家从去年10月份开始，就没有受到来自正规客服的接待，回复大家消息的基本都是非专业客服。找外包客服本意，是想作为店铺客服的临时补充。因为店铺业务量不大，人员其实已经饱和，但是发货时间会忙一些，会造成那个时间段无人接待。客服下班后消息也无法及时回复，有时候消息拖久了会被刷掉，所以才采用了便宜的外包客服作为辅助，希望能更快的给大家响应。但其实服务无小事，我们不应该在这种事上取巧！给大家道歉！让大家有不好的体验了。微博后台大家私信我关于客服的投诉我也看见了，对于大家的遭遇，真的是非常非常抱歉！再次给大家道歉！将心比心，我们自己也是消费者，遇见这种服务自己也不能接受。读了旺旺上外包客服和大家的对话，发现其存在不按规定办事，比如说我们要求了客人反馈有问题时，马上向客人表达歉意，将问题反馈给厂里的同时，向客人郑重承诺邮寄给我们检查，如果有问题的话，我们会承担来回的运费，负责到底。我发现直到前几天外包客服都没有第一时间按规定发。另外外包客服回复存在答非所问的情况，客人的诉求反复说，客服都机械的给出同样的回复？？好像看不懂客人问题，答非所问。而且刚培训过的问题，马上忘记了。缺乏同理心，无法感受到他人的着急和无助，不能理解他人等。本来我们店铺的发货时间就长，大家等待的就久，有问题还来回掰扯真的是火大！像客服备注错了码数这种事情，都能和客人掰扯两天！？？简直了！感谢各位仙女在微博后台给我的私信提醒！真的，非常非常感谢大家！我们一定会整顿！现在很多客人都感觉店铺售后无门！其实我们的初衷绝不是做一个这样的店铺，对产品的反复打磨，材料的挑剔、鞋楦的用心，都是想和市面上的店铺不一样，更用心！我们也不是推锅给外包客服，毕竟她们对店铺产品确实也不够了解，作为辅助存在，重要的问题也不应该由外包客服解决，归根结底是我们自身管理不足导致了这样的事，我们对此表达我们的歉意，实在抱歉让大家为我们的疏忽买单了！之后我们会解除和外包客服的合作，如果聘用临时客服，名称上会加以区分，时间段也会严格限制！无法回复的问题也会转接专业客服，不能自己瞎回复。当客服服务的不好的时候，大家可以对客服提出要求更换客服，并对客服打分和投诉。我们也会每天严格考核服务评分！再次给大家道歉，给大家添麻烦了，一定会尽快解决这个问题！店铺的管理会加强，终究是店铺管理的问题！对内部客服也会进行专业知识再培训，之前反馈的客服一问三不知的问题，我们会加强沟通，让客服能给大家更好的服务。大家如果有什么好的建议，也可以在评论区留言，真的是感谢各位仙女这么久的包涵了！: 店铺服务整顿,外包客服存在问题,致歉并道歉。
马斯克是真的会炒作，不止一次表达对狗狗币的偏好，称它是人民的加密货币，是自己最爱的货币，还多次发布狗狗币表情包。有投资者起诉马斯克搞狗狗币传销、索赔2580亿美元。他设想的的价值是其目前价值约200亿美元的10倍以上，大概是2500亿美元市值，打造成为数字银行，他说他的努力的关键是将这家社交媒体公司置于用户金融生活的中心。: 马斯克炒作狗狗币,价值200亿美元,打造数字银行。
墙头草乔木把自己作死了。[笑]: 墙头草乔木把自己作死了
报告！我怕那些乱七八糟的号过来，我设置了关注7天才可以评论，这样子就不会有新的人来刷铁了，然后七天我也抽完了！到时候再改回来: 设置关注7天才评论功能
感谢曹国伟@曹国伟涨了: 曹国伟股价上涨
大量用户反馈，这次悄无声息的封号主要集中在亚洲地区，即使你开通了付费的会员也无法幸免于难。同事中已有人被封（如图所示），对此并未进行任何警告及回应。在账号被封的同时，有网友表示还暂停了新账户注册，但实测仍可注册。如果你已经是的用户，建议近期暂时不要登录。: 大量用户遭封号,亚洲地区最多。
另外我们全网征集微博运营，要求有关爱女性理念的女生。再一次诚恳的道歉，请求大家能给由趣一次机会。感恩！（另外前运营微博是还要打工四十二年大家喜欢的话也可以关注）: 征集微博运营者道歉,请求机会。
今天有网友分析说，余承东大概率会离开华为。他给出的理由如下1、华为成就了余承东，任总培养了余承东，他对华为的认同感和精神依赖应该是很高的，但在任总提出华为不造车的决议后，余承东的反应是在论坛发帖，我觉得这不是一个高管的理性行为，除非向上反馈的通道不顺畅或其他矛盾分裂。2、发帖的内容有对抗的意味，开头就是时代变了，我可以把他理解为你落伍了吗？，我觉得这句话还是挺重的，大概率是积怨已久。3、问界使用华为的名义已经很久了，为什么今天突然要求撤下，说明余承东正在往不受控的方向发展（可能是造车），华为已经嗅到危机或看出违背战略意愿，立即踩刹车。4、余承东应该事先知道华为的决议，估计也做了沟通，应该是沟通失败，愤而发帖。而华为公开公告，估计是给社会一个交代，同时也是断了任何人的念想，要知道支持造车的绝对不止余一人。5、再说余个人的问题，这要从两点说起。第一是余的判断应该是对的，现在不造车，就错过了最佳时机，但是可惜和华为的战略不符。第二点余承东甘不甘心顺从华为的战略，放弃造车？个人判断他不甘心！原因是到了他这种大佬级别，早已拥有声望和财富，目前最关注的是自我实现，成就伟大的梦想，最好能像李想、李斌、何小鹏等大佬一样改变世界。如果华为不能提供这样的平台，辞职单干或加入竞品也许是最好的选择。大家怎么看？: 余承东或将离开华为,理由有自我实现和成就伟大,同时,任总曾提出放弃造车,以及与余承东沟通失败。
日前传出了大规模封号的消息，亚洲地区成为重灾区，尤其是批量注册、使用中文对话的账号最容易被封号。不少跨境电商卖家已经在使用，被封号后，卖家们表示，工作效率都下降了: 跨境电商卖家注意封号风险
