成龙大哥生日快乐成龙@成龙: 成龙生日快乐
三亚三亚西岛旅游度假区: 三亚西岛旅游度假区
男子走路因地面湿滑，一脚滑进商店: 男子因地面湿滑滑进商店
水没有供！苗木基地和林场隔着60公里苗木基地依靠黄河水，去年的机井浇水是另外一个事件，断了我们应该用的上的黄河水，死了很多树苗，这个事情都没有解决都有相关手续，黄河灌溉渠还是老孙自己掏钱修的，别人的都是部门掏钱。林场以来是浅层地下水和坑塘水面都是做过化验的，总不是我种树把地下水盐分提高了吧所以水文条件好我们才种树治沙为了增加植被多样。我们先到，煤矿后到，也是因为煤矿来了以后有人想毁约才拒收承包费的，连2017年高院中院两审都认定过此合同有效受保护，我不明白有些鸡蛋里面挑骨头的人是怎么想到老孙不交承包费。还有人让我告，请问反过来想想你们质疑老孙的问题相关的地方看不见吗？需要网友来执法吗？而且有些新闻发布不实肯定是要追究的，但是我们现在的主要问题是供水。相关方闭嘴不谈是为什么？想掩盖什么？老孙12实缴是以实物实缴，林场的生态价值值9千多万。有人说老孙总告别人，我想问有人告老孙吗？老孙讨回自己的血汗钱有错吗？现在有些网民到底站在什么圣人角度？老孙宁愿借高利息也一定要把民工工资给清，而被老孙告的那些大老板有多少钱又能怎样？还不是拖欠老孙工程款？包括矿方给的工程就是2010年抢险钻机陷入流沙和水里，前前后后一周花了几百万进去没有打捞出来，是老孙专门从内蒙回来，听到说是全国只有两台的抢险进口钻机，在危机时刻挽救多少生命，可是有人决定隔断卖废铁，老孙认为是资源浪费，所以在重重质疑下，拿出20万和一辆宝马车做担保，打捞这个钻机，用沉井法26天打捞上来。即使这样，就因为老孙弄丢了结算单，有人就不认了，后来机缘巧合找到诉诸法律才要回工程款，真的有些人劣迹斑斑。苗木基地是两千亩，老孙开荒成土地，后来有生态移民搬迁过来，有多少人拿了上千万征地款，而老孙说这是利国利民的好事，于是大手一挥将一千亩土地无偿给了搬迁移民，只是按照上面的树苗一个三块钱计算给了三十万，要知道这两千亩是老孙按照土地流转价格买的，所以有些人抨击老孙的时候想想你能做到哪个程度。: 苗木基地和林场纠纷引发关注,网友质疑老孙工程款去向。
无意刷到华商报的新闻，才知道原来毛乌素沙区的治沙英雄郭成旺老先生3月31日下午去世了[蜡烛]一个百岁老人，坚守38年，四代人，把45万亩黄沙变成绿地，默默付出，平凡而伟大的一生。: 黄沙治沙英雄郭成旺去世
外国同事抱怨到中国啥都没法买: 外国同事对中国买不起
小日本真会玩，这是怎么作死怎么来？: 日本会玩作死?
这是真实的退休公务员工资！最近不少人拿公务员，事业单位的退休人员工资说事，几千几万的，纯是在撕裂族群，制造事端。你们这些人看看吉林省公务员真实的退休工资，别再胡言乱语了。: 公务员真实退休工资引争议
你们反对种族歧视、高喊黑人也是人，黑人多时自然会教你们做人！——现在它们在教美国华人，然后是广州人、义乌人、山东人、成都人别笑，随着外来黑人和伊教徒越来越多，有一天也会是你！骠骑尉松亭先生: 反对种族歧视,教美国华人做人。
江苏南京28岁的小陈与妻子结婚两年一直备孕无果，检查结果显示其尼古丁中度依赖，精子活力低、畸形比例高。经询问，小陈每天要抽大半包烟。医生表示，虽然存在个体差异，但已经明确的是烟史越长、烟量越大，其染色体异常率会越高。你认为吸烟会影响备孕吗？: 备孕夫妻吸烟导致染色体异常,医生:烟史越长、烟量越大,精子活力低、畸形比例高。
认不出爸爸临终时写给妈妈的字: 爸爸临终写给妈妈的字
美国一家庭从1885年以来只生男娃，就在上个月，他们终于盼来了138年来的唯一一个女娃，整个家族的人都乐坏了！[送花花]: 美国家庭盼来138年唯一女娃
4月6日，北京。男子坐地铁没戴口罩，被其他乘客质疑违法。视频显示，乘客对工作人员喊话赶紧叫人过来。男子则反驳现在哪条法律规定要戴口罩了？对此，北京地铁回应建议乘客佩戴口罩，但不会强制要求，如果发生争执可以通知现场工作人员协助处理。猫头鹰视频@猫头鹰视频猫头鹰视频: 男子在地铁未戴口罩被质疑违法,地铁建议乘客戴口罩,不强制要求,如有争执可通知现场工作人员。
安徽大学啦啦操事件我刚刚翻资料的时候，发现一个简直魔幻的事情。这事两年前居然也闹过一回，不过当时吵的是穿衣自由。首先，他们的这个啦啦操似乎是他们比较重视的代表性演出，每年都表演的。参与者这边，差不多开始前一个月就大量排演了。（图一）然后，2021年的时候，有老师提出过意见，觉得太暴露了理所当然的，这个老师被网友一顿批图二图三是2021年的网友回答当时就有人放出了清华大学啦啦队表演，表示清华大学啦啦队穿的更少你算哪根葱？还活在大清是吧？还有不止一个网友拿出了鲁迅的一见短袖子，立刻想到白臂膊来批判这种卫道士行为。于是现在的剧情就有点魔幻了2021年，有老师认为啦啦操着装有伤风化，被痛批，被骂活在大清2023年，有老师要求啦啦操延续短裙着装，也被痛批，被骂物化女性今天的我杀死了昨天的我，明天的我又是哪一天的我事情发展过于魔幻以至于我已经无法判断接下来会是什么剧情了: 安徽大学啦啦操事件,曾遭网友批评,剧情魔幻。老师要求延续短裙着装,被痛批。
电影都不敢这么拍两车相撞老人被夹中间却毫发无损[作揖][作揖]: 两车相撞老人,中间毫发无损
十岁的儿子帮忙给爸爸调机器，独立编程半个小时搞定，爸爸他是纯属爱好自己看多了就会了两年前就会换钢丝: 儿子帮爸爸调机器,半小时搞定。
大体上，月薪5000以下的人是可以有生活的，月薪的人努努力可以勉强兼顾生活，月薪的人每周偶尔有时间感受生活，月薪以上的人如果运气好退休后可以再有机会体验生活。（凡事无绝对）至于将生活和工作完全撇开，在手机智能化的今天，看看企业微信和腾讯会议，基本上是不可能了。我国大部分老板喜欢充分占用员工的休息时间来安慰自己支出的薪水，其实这是种畸形心理。一条无时无刻的收到，甚至可以满足他们扭曲的征服欲。其实他们对陈志龙的惧怕，超过了被造谣的主体本身。: 月薪5000以下可生活,但陈志龙的惧怕超过被造谣的主体本身。
有一位网友说虽然这几个自杀的人大部分家庭状态都不是很好，但看起来也没有真吃不饱饭养不活自己的，这种觉得日子不幸福是人之常情，但是大部分人不至于到自杀这么极端的程度，而且几个人地域跨度大，互相之间本来没什么交集，能相约自杀，怎么看都像心境一时苦闷结果在某群组里被鼓励或引导去自杀了我觉得这个网友说的是有道理的，类似的这种群组应该管制一下。每个人的生活都有烦恼，在有吃有喝有衣穿的前提下，其实很多事情并没有那么严重，还有什么东西是必须的呢？商家有一些宣传也有一定责任，什么爱她就给她买什么啊，不买什么就怎么怎么呀，不要让孩子输在起跑线啊这类广告很不妥。: 网友呼吁管制自杀广告
到目前为止，所有被反转的社会热门事件，无一例外都是被媒体带上热门，而无一例外都是被较真的自媒体发现漏洞抽丝剥茧而最终反转的。这充分说明，媒体才是网络传播的主力军，而自媒体显然是网络传播的绊脚石。: 社会热门事件被反转,自媒体是绊脚石。
不知干啥先存银行 4月6日，海南海口。据海南台报道，王先生（化姓）中出10注一等奖，总中奖金额元，中奖2天后领走5978万余元幸运大奖。据了解，王先生是一名80后，当天花40元让老板帮忙机选的两注10倍投注单式彩票，晚上和老婆一起核对中奖号码时，发现自己中了大奖。中奖号码为红球08、23、25、26、29、31，蓝球12。网友估算发现，王先生需缴税1195万元左右。领奖后，王先生当场捐出20万。（星视频）星视频: 80后男子中5978万大奖,当场捐出20万。
那些后来反转的新闻合集德阳安医生红黄蓝周口白衣天使茉莉花重庆坠江女司机北美吐槽君德国撒旦教春秋两不沾贵州毕节幼儿园杭州孕妇与网红广东白云区女孩哮喘跑步吐血某网约车司机迷，结果是两夫妻自导自演成都49中某晶被顶替上大学杭州许国利妻子失踪(实为被许国利杀害)父母起诉22岁女儿拒养2岁弟弟胜诉(普法故事，并不是真实案例)患儿家属拒绝为网约车作证(乌龙)中国男孩打4个外国小女孩。(实为外国女孩动手在先，并多次用皮球砸中国小孩)博主称平台跑腿加价勒索女子深夜回家遭黑车司机尾随敲门30岁男子白天初二女生(不实)南大学生举报周恒事件(家长澄清举报材料系网上下载加工而成、举报者为男生，曾因故受处分对周恒产生强烈仇恨而持续举报)女子惊叹邻居为生儿子连生7女(女子承认造假)19岁女孩第一天相亲第三天结婚(炒作)中国电科加班怒怼领导(系图）: 外媒报道中国男孩打外国小女孩事件,其中外国女孩动手、博主称平台跑腿、举报周恒、邻居自导自演、女儿被顶替上大学、父母起诉女儿拒养2岁弟弟胜诉。
网友格局打开 4月5日，江苏，网友晒儿子画的后羿射日，以为是神话故事，没想到是励志故事。网友评价就冲这觉悟必须给满分！格局一下子就打开了！: 网友分享后羿射日故事,格局打开。
马英九声称自己是东汉名将马援的后代，祖籍在陕西扶风。: 马援后人自称东汉名将马援祖籍扶风
看到做四休三这个话题超级想发言！我在澳洲当护士，从毕业到现在工作快五年了一直都是每两周上8天班。白班(早上7点开始的早班，或下午1点开始的晚班)每个班85个小时，休息两次，总共休息时间至少会有1个小时。夜班晚上9点开始，一个夜班10个小时，有一个小时的休息。四周白班两周夜班这样轮。轮到上夜班的那两周，只要上6个晚上的班。身边的同事基本都是每两周上6到8天班的，9天班是了，一般只有上12小时班的同事会选择(他们每周上三天)。当然也有签合同的时候就要求每两周上10天班的同事，但是极少极少。加班是完全自愿的，不想多上可以直接拒绝或者不回应。每两周上超过72小时的部分都算加班工资（双倍时薪）。周末上班的时薪是15倍。像我这种没有小孩的工作日和周末对我来说毫无差别，所以非常乐意上周末班。还有最有意思的是。比如我今天本来是上1点到9点半的下午班，结果9点开始的夜班因为有人请病假转来新的病人所以缺护士，护士长来问我愿不愿意加一个夜班(也就是多上10个小时，一直上到第二天早上730)。我说可是我明天上班诶，护士长可能就会去问别人，但大多数情况会直接给你第二天那个班的，也就是说因为你加了今晚的班，明天你当然需要睡觉不能来上班，但是明天的班工资照付。这样上一个下午加班10小时的班，实际上工作了18小时，但是却能拿到810*2(加班工资双倍)8一共36小时的工资！但是说实话，因为我没有在国内工作过，所以只有在微博上看大家抱怨工作辛苦的时候会觉得自己好幸运噢。现实是就算每周休息3、4天我还是觉得不够时不时盼望着退休住养老院。——————————多补充一个！墨尔本这边的医生，一个班是12小时，或者，大多数都是连着上7天白班，然后连着休息七天。再连着上7个夜班，然后再连着休息七天。比起国内的医生肯定已经超级幸福了，但是我们都觉得连着7天班好恐怖[笑]我平时最多连着4天班就是极限了，第五个班会立马请病假(带薪的哈)！！: 护士长问我是否加夜班,并问我是否愿意上周末班。
刚看了一个失业视频的评论区才知道原来很多的地方做6休1的还有一周休两天一周休一天这种模式惊呆了: 失业视频曝光6休1模式
四人相约自杀，先服毒再跳崖，赴死的决心远大于活着，为什么？既看不到未来、又回不到过去，所剩的只有现在——生无可恋的现在！幸福只能在嘴巴上喊喊。这类新闻不敢转，担心产生示范模仿效应。: 反思自杀、跳崖、生无可恋的现在,新闻担心示范模仿效应。
丰县八孩案5人犯拐卖妇女罪: 丰县八孩案5人犯拐卖妇女罪
要我谁都别想那私密照威胁我，反正别人看到的不就是一块肉吗？看得到摸不到，传播我就报警，只要我脸皮厚谁都别想威胁我，问就是假的，反正换脸那么多: 私密照威胁,脸皮厚谁都别想。
想到之前拐卖妇女案时罗翔老师说的买一只熊猫判10年，买2只鹦鹉判5年拐卖一个女人最多判3年，拐卖2个孩子，量刑5年。3年，5年，10年，分别是买卖20只癞蛤蟆、2只鹦鹉、1只大熊猫的量刑。1个孩子1只鹦鹉05只大熊猫: 罗翔老师提出拐卖妇女案,判10年,其中1只熊猫、2只鹦鹉和1只大熊猫的量刑。
19时许，海洋走出南山区法院，忍不住掩面而泣。当年那个处心积虑偷走孙卓的贼，让一个家庭直接崩溃，伤害剧烈。他在法庭翘着二郎腿，说他偷孩子是为了帮助没有孩子的其他家庭，没有收钱，他是在做好事，让寻子家长们血脉贲张咬牙切齿。根据现有的拐骗罪规定，和侦查机关现在拿到的证据，他极有可能最多判刑五年。: 海洋庭审现场泣诉当年偷孙卓的贼,可能最多判刑五年。
看冯女士这张照片是在首都机场要客区拍的。中方对她的礼宾层面的待遇是完全没问题的，根本不存在降格、羞辱的情况。中方对政客的批判与人格侮辱是完完全全的两码事，希望各位谨慎对待外媒的说法。: 中方对政客的待遇无问题,批判与人格是两码事,呼吁谨慎对待外媒说法。
哪有什么岁月静好，只不过有人替我们负重前行！: 岁月静好,负重前行。
张家界跳崖一男子家属按当地习俗，没结婚骨灰不能进祖坟。: 跳崖男子家属按当地习俗不能进祖坟
都是剪丁丁台女剪男友丁丁，自首也要判5年。集美剪丈夫丁丁，罚200，拘10天，就没下文了？: 剪男友判5年,集美剪丈夫被拘10天。
倾家荡产4年花费110万，送女儿出国读高中，如今没钱读大学来募捐: 倾家荡产110万送女儿出国,没钱上大学募捐。
可怜的孩子，看到网上这个视频，突然明白他为什么选择跳崖了，对他来说，没准真是个解脱。张家界跳崖其中之一的，河北籍男子一女家属一段采访录音曝光，家属称(死者)骨灰盒回来了，不要叫他进家了，就叫车在挖好的(坟)坑那等着，往那一站，就叫他埋了就行了。让他进家干嘛呢？是不是，没必要进家了。目前男子的二哥将去湖南处理弟弟后事，但因为弟弟没有结婚，按照当地习俗，他的骨灰不能进祖坟。虽然说有些地方有这样的习俗，但是他家人说话的态度让人听起来不知道怎么形容。据媒体报道，该男子家中排名老三，大哥已婚，二哥也没有媳妇，常年在外打零工。男孩初中没读完就出去打工三四年都没有回家。一个人，但凡有一丝感情寄托，一点点爱与被爱的感知，那他都不会走极端，这是人性使然。反推过来也一样，一个人如果义无反顾的走向了极端，那他的至亲一定不会是无辜的，总有一个是将他推向深渊的无形凶手。: 跳崖男子的家人态度令人疑惑,家属称他不会走极端。他可能被推向深渊的无形凶手。
加州圣何塞，12岁女孩出去玩磕了芬太尼然后死了卖她药的16岁毒贩也已经被捕: 12岁女孩玩磕芬太尼后死亡,16岁毒贩被捕。
明天又要出差了一走又是小半月自从疫情防控政策调整了出差明显多了起来花的钱更多了挣的钱没有明显增长话说济南天气咋样？穿短袖？外套？秋衣需要不？: 疫情防控政策调整,出差费用未明显增长,济南天气咋样?
泰国征乒抽签现场、这快乐的哈哈哈: 泰国征乒抽签现场
互联网是有记忆的。当初央视主持人白岩松连线时任中国疾控中心主任高福时，高福振振有词的说新冠病毒来自野生动物，证据确凿！这一说法不但让老外认为是坐实了新冠起源中国武汉的说法，还导致后续竹鼠、果子狸等多种养殖动物被禁止，华农兄弟一度不知道干啥好可笑的是，高福是学兽医出身的专专家，这方面他说一不二，的确权威，好在后续这个说法被推翻了，他也退休了。[微笑]: 互联网记忆中的高福,曾称新冠病毒来自野生动物,引发争议。
丈夫离世后妻子万万想不到，小三带1岁多小女孩来索要遗产，法院307万遗产四分之一归女孩: 小三带1岁多女孩索要遗产,法院判赔307万。
嫌疑人在医院救治 据平安彭水@平安彭水通报4月6日19时许，彭水县鹿鸣乡村民吴某某(男，54岁)因矛盾纠纷，持刀行凶致同村4人死亡后自服农药。目前，犯罪嫌疑人吴某某已被警方控制，在医院救治。案件正进一步侦办中。: 四川彭水发生持刀行凶致4人死亡,犯罪嫌疑人已被警方控制。
我看了真要笑死[笑]美国居然会没有拐卖儿童，联邦调查局都要笑死了: 笑死!美国没有拐卖儿童
卧槽！！！有网友发现网红密子君直播带货的鸡爪里有蟑螂（右下角）: 网红直播带货鸡爪有蟑螂
路口转弯致水杯倾倒，女子对出租车司机破口大骂！: 女子因水杯倾倒大骂出租车司机
近日，网曝美食博主密子君直播带货的无骨鸡爪里有蟑螂，经网友提醒后，她表示那只是样品，重新开了一袋继续直播。据悉，密子君本名为张榆密。天眼查显示，张榆密共关联5家企业，其中存续状态的有3家，包括成都榆木白羊文化传媒有限公司、四川云来味品牌管理有限公司、成都瑞兔餐饮管理有限公司。张榆密在上述3家企业中担任执行董事或监事，并持有2家企业股份。值得一提的是，上述成都榆木白羊文化传媒有限公司即为密子君关联机构，其成立于2018年8月，注册资本300万人民币，法定代表人为黄学君，经营范围包括文化娱乐经纪人服务市场营销策划等，张榆密持股99并任执行董事，为实际控制人。双随机抽查信息显示，该公司曾抽检被发现问题并被责令改正。: 美食博主被曝直播带货有蟑螂,关联公司有3家,包括成都榆木白羊文化传媒等。
单休和双休有多大区别: 休与双休区别大
看看这物价贵的离谱，何况这还不是超市的价格呢，工资这么低，物价又这么高，外来务工的人怎么生活呀！！: 物价高,外来务工者如何生活?
都快供不起孩子读大学了！山东一位家长抱怨，闺女当初高考以670分，考上北京航空航天大学，本来是件好事，但花销实在是太大了，两个星期要一次生活费，一次800块钱，都快供不起了你怎么去上个学都能花这么多钱？一个月1600块钱，我怎么供得起你！这句话，是出自山东的某位家长口中，山东作为我国高考大省之一，教育资源内卷程度远近闻名。学生想要改天换命，就必须要在高考的众多学子中脱颖而出，去往一线城市，努力在这里安家落户，改变后代的教育环境。那么这位山东大哥的闺女，就拥有了这个逆天改命的机会，以670分的优异成绩，考上了北京航空航天大学。本来是一件挺开心的事，但当孩子开学后，大哥却怎么也高兴不起来了。因为他觉得女儿的花销实在是太大了，每两个星期就得要一次生活费，而且每次都是800。给了大哥很大压力，甚至都感觉都快供不起她了。可能是想要寻求安慰，大哥便把这个苦恼分享到了网上。有家长感慨670分，都不如800块珍贵，670分是她的幸运，但这个800块却是她的不幸。同时也有家长羡慕地说道你这闺女是真懂事，不仅学习好还知道节省，一个月1600是真不多，如果我孩子跟你闺女一样，别说是1千了，就算是一个月10万我都要给他。可见，虽然同样都是学生家长，但大家烦恼的事却千差万别，有的人愿意付出一切，换来孩子上涨的分数，有人却为孩子的生活费而踌躇不已。其实也不能怪大哥，毕竟在很多家长的眼中，学生在学校基本是没有开销的。但事实上真的是这样吗，曾有网友记录过大学生一天的开销，仅吃饭每天就需要四十多块，日用品，手机话费、宿舍电费、网费等，一个月算下来，其实1600好像还打不住。就这，咱这还没有算买衣服和学习资料的钱，还有城市与城市之间的物价也是不一样的。如果只是有自己城市物价以及买菜做饭的标准，去衡量学生们的生活成本，那确实是不太准确的。大学确实不应该是学生享福的地方，但也没必要成为他们受苦的地方吧。或许是因为大哥家里的经济条件确实有限，每个月支出1600元确实是有压力，才不得已在网上发表的这个言论。那么如果真的是这样的话，学生就要自己想办法勤工俭学赚自己的生活费了，要不然就好好学习争取拿到奖学金，这个办法也可以。但大哥既然已经培养出来一个，这么优秀的孩子，最好也不要就这么轻易放弃，不培养了。家长对孩子，没有功成身退这一说，教育虽然是一种变相投资，但对子女的爱难道也是吗？大学是孩子进入社会之前，最后的一个缓冲地带，如果他们在这里不能肆意享受青春。反而跟同学吃饭的时候，都要畏首畏尾，那么未来的他还怎么在社会上不卑不亢，这么做只会让孩子寒了心。一位网友就对此感同身受，说自己当时上大学的时候，就是因为不好意思问家长要钱，去报学习班，最终导致自己没考上研究生。虽然现在已经赚了无数个报名费了，但这个机会却一去不返了，这也成为了他一生的遗憾。作为家长，控制孩子的日常开销，让他养成良好的消费观念，确实应该做的。但也不能因为这样，就影响了孩子的学习计划。更不能让他们为了去赚生活费而丢了学业，这就太得不偿失了。所以，为了孩子的未来，大哥可以稍微委屈自己一下，降低日常消费水平，坚持到学生完成学业。当然是建立在学生努力学习的情况下。如果学生在学校不务正业，爱攀比消费奢靡，那咱们就要另当别论了。另外，大学生也不要太看重面子，千万不要与同学攀比，因为到最后损失的只有你自己。不要大手大脚地花钱，去食堂吃点素菜啃个馒头也没啥。你看看人家韦神，那么出名的一个人，每天吃的饭菜，依旧是馒头素菜。教育讲究因材施教，财商教育也是如此，千万不能因为这几百块钱而遗憾终生，或者是耽误了孩子的前途。: 山东家长抱怨女儿上大学难,认为学校经济压力大,要求勤工俭学,每月花费1600元。
一纸判决书，看尽小花梅的悲惨一生: 判决书看尽小花梅的悲惨一生
外国留学生在中国的超国民待遇，引发各国网友评论，句句扎心！丢人丢到全世界面前了！——转自某瓜博主毒舌羿姐 骠骑尉松亭先生: 中国留学生超国民待遇引争议
山西阳泉，90后的胡志南从小学豫剧，23岁从旦角改成演包公。为演好六十岁的老年男性，她增重30多斤，苦练男声唱腔，成功登上央视舞台，还凭借半脸画旦角半脸画花脸包公的绝技，在直播间收获众多年轻观众。胡志南说，看不到脸，还有那么多人喜欢和打赏，说明演戏不能光看长相，得认认真真地去表演。大米@大米大米: 90后美女旦角改演包公,增重30斤,成功登上央视舞台,凭借半脸画花脸包公的绝技,吸引年轻观众。
本质上，还是抢劫中国人民的钱。先容留富豪和贪腐的钱流向美国，制造贪官和富豪可以在美国容身不被遣返的诱惑假象，然后收网，割韭菜。想割韭菜没收本质上是中国老百姓的钱，没有合法性和正义性，钱必须归还中国人民。: 抢劫中国人民的钱,本质上是中国老百姓的钱,没有合法性和正义性,钱必须归还中国人民。
要重视现在孩子们的心理问题了: 重视孩子心理问题
教坏小朋友。。。专员: 坏小朋友专员
关于对美国哈德逊研究所、里根图书馆及其负责人采取反制措施的决定: 美国对哈德逊研究所、里根图书馆采取反制措施。
目前，俄罗斯国防部正在为俄罗斯顿涅茨克人民共和国马里乌波尔市建造医疗中心。该中心由由俄罗斯国防部的军事建筑复合体的专业人员进行施工。据俄罗斯国防部的代表介绍，该医疗中心占地面积为335万平方米，由三栋建筑组成，分别是医疗和诊断大楼、病理解剖大楼和洗衣房。据报道，该医疗中心将使该地区的医疗水平大幅提升，因为该地区此前并不存在类似的设施。医疗中心内将配备所有必要的设备，可为来自马里乌波尔和整个顿巴斯地区的患者进行诊断和治疗。今日俄罗斯: 俄罗斯为马里乌波尔市建造医疗中心,医疗水平将大幅提升。
美香的腹水很严重大家都很担心，大家都很了解，我就不多说了，但截止目前都没有媒体跟进。这就意味着我们没有任何权威消息来源用以佐证，但这是为什么呢？为什么我们之中很多人是今年可乐事件之后才开始关注美香的！其实三年前就很多人质疑过，但是没成什么气候，我查询了很多那个时间的美香的信息，那个时候就有很多账号在洗白，其中不乏权威媒体，好了多了不说了，大家要记住美香的这场战争一定是残酷艰难的，大家别说太多敏感词，说了会被限流，正义的声音也传不出去。就更没人帮助美香添添了！另外华盛顿动物园的饲养员说添添已经痴傻了，频繁的电击，神经受损，当然会引发心脏病。乐乐就是先例。所以添添资料很少，身体情况最不好，恐步了乐乐后尘，添添急需关注！！而两个协会给美国的熊猫都是国内少有的优秀品级。国旗不是一块布！国歌不只是一段旋律！国宝也不仅仅是一种动物！所以必须捍卫我们中华民族的尊严，国宝不能受人欺辱！坚决抵制国宝旅美研究！坚决抵制电击！！！赶快接回、乐乐、美香一家！我们努力大熊猫美香: 呼吁抵制国宝旅美研究,保护大熊猫美香。
图怼领导的中国电科陈志龙已经被抓住了，其真实身份是四川某地一家跟中国电科毫无关系的科技公司的员工那么，是谁在背后导演了这出闹剧？: 中国电科员工涉嫌导演闹剧
一岁多的宝宝半夜醒来不停啼哭，宝宝能有多爱妈妈那是他的全世界啊: 宝宝能有多爱妈妈?
我劝在座的各位，千万千万不要抽脂，过程痛苦，恢复煎熬，后期还会肉松，真的花钱买罪受，稍不注意命还没了！哎！可怜这个19岁的小菇凉，花一样的年纪啊！: 19岁小菇凉抽脂需谨慎
4月8日，河南郑州。一游乐园里面的充气城堡被大风掀翻，现场视频显示，有孩子被压。游乐园工作人员回应称，今天风很大，有孩子脸部轻微擦伤，后续会加固钉子！: 郑州游乐园充气城堡被大风掀翻,有孩子被压,工作人员称有孩子受伤,后续会加固钉子。
卧槽，这也太吓人了！！带着玻璃进电梯，一点安全意识都没有吗？这幸亏没削到脖子。。。: 电梯卧槽吓人,幸亏没削到脖子。
想起一个身边的事儿。我有个师姐，浙大硕士，毕业后进了国企，综合条件很好，今年42岁，是他们单位核心业务部门的中层。目前还是单身，是从未结过婚的单身。她家庭条件很不错，爷爷奶奶爸爸妈妈退休前都是体制内小领导。他们家对师姐的择偶有一条硬性规定，就是必须找体制内的，最好是公务员，其次是事业单位。师姐从校园开始谈的每一段恋爱，家里几乎都反对，因为都不是体制内。师姐前几年差点成了一个，小软件公司的程序员，离异无孩，两个人感情也很好，但父母强烈反对，拖了两年，程序员也就算了。到现在，师姐的爷爷奶奶已经去世，剩下父母继续扛起要找一个体制内女婿的大旗，还是要求师姐努力相亲体制内男士成家。师姐已经认清现实彻底放弃结婚成家这件事了，就努力工作专心赚钱认真攒钱，一来确实找不到合适的，二来心态已经麻了。父母的一些执念，真的就是孩子的牢笼，而且因为打着爱的名义，被关在里面的人，几乎丧失了越狱的可能。: 师姐的家庭条件不错,但择偶要求严格,几乎丧失了越狱的可能。
交警已批评教育，责令删除视频 据西部决策@西部决策报道4月5日，四川绵阳，交警接到多名网友举报，称一名女子把机动车道当台走秀，且其在短视频平台上多次发布此类视频。经核查，交警找到视频中女子，对其进行了严肃的批评教育，责令其删除相关视频，消除不良影响。西部决策: 四川绵阳交警批评教育并责令删除视频。
为什么美国已经明令禁止进口日本海鲜，苏州太仓港却在大量进口日本海鲜？有点想不明白。: 苏州太仓港大量进口日本海鲜
4月7日，广东，女孩坐在床边拉着外公的手，不停抚摸着外公的脸和他说这话女孩感谢您疼我一场。真是泪目了，外公外婆带大的看不得这种场面。网友这种崩溃我懂，我到现在还是没有释然。: 女孩抚摸外公脸,网友崩溃
这个真的太过分了！才赔5000吗？心理赔偿，看病，误工什么的费用不用出吗？造成的心理伤害怕是多少钱也无法补偿。: 赔偿太过分,心理伤害难以补偿。
昨天有人给我投稿说卫生巾隐私发货算是月经羞耻，我个人感觉并不算，因为一些日用品和贴身衣物也会隐私发货，这种带有性别符号的用品隐私发货也可以保护收货人的安全。想问问大家是怎么看待这件事情的[哆啦梦吃惊]: 卫生巾隐私发货引争议
辉煌七十年书香满长安全民阅读活动即将开启 西安市新华书店成立于1953年4月6日，如今已经发展成为拥有三大板块20多家门店的连锁企业，持续火爆的人气显示出西安人对于读书的热爱。4月8日到5月6日，西安市新华书店将推出为期一个月的辉煌七十年书香满长安全民阅读推广活动，活动以人民为中心，以满足公众阅读需求为出发点，将组织传统文化、经典读物、儿童绘本等30余场文化活动，还邀请了刘同、陈磊、梁永安、赵大晴、吴义勤等一众文化大咖云集现场，让广大读者朋友与各位作者近距离接触，共同探讨文学创作的心路历程，分享书里书外的精彩故事。让全民共享好书、共悦好书，是这座70年老店送给西安人、送给自己的最好礼物。: 辉煌七十年书香满长安全民阅读活动即将开启,西安新华书店将推出为期一个月的推广活动。
经最高人民法院核准，2023年4月7日，辽宁省大连市中级人民法院依照法定程序对罪犯刘东验明正身，押赴刑场，执行死刑。检察机关依法派员临场监督。罪犯刘东因投资失败无法接受，失去生活信心，遂产生报复社会心理。2021年5月22日11时40分许，刘东驾车沿唐山街行驶至五惠路路口时，在等候绿灯指示后突然在7秒钟内将所驾车辆车速从0时速加速至108公里小时（该路段限速60公里小时），并冲闯红灯，以驾车冲撞路人的极端方式实施犯罪，造成5死5伤。: 刘东涉嫌驾车冲撞行人,被执行死刑。
这是一封没有署名的信（龙华烈士的遗物）我们并不指望在另一个世界重聚，我们挚爱的只有我们曾经所在的地方，即使将来没有人记得我们，这也是我们唯一愿意为之付出一切的地方什么时候你再去龙华吧，三四月间，桃花开时，上报恩塔，替我再看看龙华，看看上海。还有报恩塔东面的那片桃园，看看那些红色、白色和红白混色的花朵。今晚舞台上，在我正前方的观众席里，我似乎又看见了他和他们: 怀念龙华烈士的遗物,期待在另一个世界重聚。
小花梅案不是雷霆打拐的终点资讯: 小花梅案不是雷霆打拐终点资讯
南美一些走线去美国的国人因为推船发生内讧！[裂开][裂开][裂开]: 美国国人因推船内讧
广东高质量发展的代表，我听到了他们在广州谈话中有直接提华为！！: 代表广州谈话提华为
美国众议院要让中国当发达国家: 众议院建议中国当发达国家
毁了别人的一生，只判了9年，可悲可叹。: 毁了他人的一生,只判了9年,可悲可叹。
