特朗普在法庭上做无罪辩护: 特朗普无罪辩护
昨晚，360公司告知公司实际控制人周鸿祎与胡欢协议离婚，已办理解除婚姻关系手续。老婆分走90亿。感觉她长得很好看，身材也好，气质也好，很有魅力，让人有一种纯粹的亲近感[举手]: 周鸿祎离婚,老婆分走90亿。
这种封面仍然是今天的无法创作出来的，如此精准、简练、生动，依赖意会而非言传。: 封面精准、简练、生动,依赖意会而非言传。
腾讯越南站本周电视剧前五: 腾讯越南站本周电视剧前五
回答什么叫中国式逻辑: 回答中国式逻辑问题
渣浪及各大应用开屏广告杀手，终于不用无故跳转了。原理都是基于对加速度传感器的滥用导致的。: 渣浪等开屏广告杀手因滥用加速度传感器导致跳转
搞不懂为什么要有这样的行为，还是要理性的去做事啊: 理性做事
我常常因为奇怪的原因成为背景板: 奇怪的原因成为背景板
经过深思熟虑后，依旧想请教羊腿大蛇丸@羊腿大蛇丸老师几个问题您的小号狂啃大羊腿弹射入棺版@狂啃大羊腿弹射入棺版（查证后基本能确定是您的小号，证据如图1，同一时期内微信头像和聊天背景相同）1、与您在评论区互动的某位网友（图2）是龚俊唯粉，请问您是否知情？（粉籍证据如图3）2、您的互关好友（互关录屏在图5）长期发表明显贬低辱骂张哲瀚的言论（只截取最近言论如图4），请问您是否知情？3、您发表的图6言论，是否存在对同担产出和读者的不尊重？补充私信提供的第4问4、与地狱属性的博主（图7）互动且发表如图8的言论，请问能否给予合理的解释？我的问题列举如上，真诚期待能得到老师的回复: 提问羊腿大蛇丸老师,讨论微博言论问题。
虽然我之前说过站的一些问题，但我觉得停更潮这个说法是标题党了。大概率这个热搜是站竞品在操作。比如我之前说的游戏区，一堆原神涨粉速度非常吓人，历史区也一样出了超级多新。而且特点是非常细，细到专门讲欧洲史中东史。现实情况是，站有300多万主，五十万粉丝以上有3000多个，这么大体量的平台，本来就是每天都有人入驻和停更，走走来来，只是目前可能新增的部分是细分市场的，大众感知不深。主也是人，需要给自己放个假也是很正常的事，两三个主休息就停更潮了？带节奏未免太明显: 站竞品停更潮?谣言!
谁还没有参加保存用微信参加: 保存用微信参加
报！ 富士山下听后感，预警: 富士山下预警
老妈生日快乐永远美丽、健康[三生]: 老妈祝生日快乐
对美国苹果公司上海直营店的两点抱怨@1（图一、二、三）在五角场买的表带，拿到直营店换个颜色，却被告知只能回到五角场店做退换。相当震惊。都是官方直营店为什么会这样？是对消费者不信任还是对自己的服务不自信？且只能在本店做退换，收据里并无提示，只说了退换的最后日期。（图三）在美国，在一家苹果自营店买的东西可以在全美任何州任何一家苹果店做退换，在上海同一城市里，各直营店之间却不可以退换？真的很不方便。直接体会到了某些国际大公司，在中国市场提供的服务品质比其他地区低一档次，但价格不低甚至更高，这是地域歧视。2我用苹果公司自家的，绑定苹果官方发行的信用额度为15万美元的高盛信用卡，却不能在国际大都市上海苹果官方店里付款，店员说只支持绑定中国的各种卡，最后我用朋友的支付宝付的款（因为也不支持微信支付）。国际大都市上海的苹果店，不如香港、台北、曼谷这些地方的苹果店？苹果上海店并不国际！上海富丽华大楼: 苹果上海直营店存在地域歧视,无法退换商品。
啊，周鸿祎离婚了，前妻分得的股份大概价值90亿[哆啦梦害怕]: 周鸿祎离婚前妻分得90亿股份
我实在是不忍直视了啊这都是些什么啊？这是准备迎合什么呢？无语！无语啊！: 不忍直视的迎合,令人无语。
不懂想问问，这是哪儿来的小作坊: 小作坊生产食品
如果成功抢到手了，肯定会有下一个: 成功抢到手,下一个可能。
魔法时代可能已经来临了，只是大家还没察觉目前的运行方式是，你输入指令，他们给出答案比如你输入画一个男生，他们会按照这个要求绘画如果你输出的是画一个身高185面貌英俊的瘦长男生呢？他们就会在你基础上给出更精细的绘画。你输入的咒语越精细，给出的结果越好某种意义上，这已经和魔幻小说里的魔法咒语没有区别了，你吟唱的越具体，描述的越精准，魔法之神给予你的回馈也就更直接，更能满足你的要求。以后搞不好大家就拼谁掌握了更厉害的咒语甚至，当你将古人的优秀作品，经典咒语输入时，他们一样能给出结果比如覆压三百余里隔离天日: 魔法时代来临,输入咒语越精细越好。
一觉睡醒咪咪十四万粉丝啦！！: 睡醒咪咪十四万粉丝
青簪行这官微是被盗号了还是破罐子破摔了？: 官微被盗号,还是破摔?
站的氛围可能是有一点问题，随便刷了一下，热门上的两个视频，一个是奶茶店再也赚不到我的钱了！ ，一个是知道的人越多！倒闭的便利店越多！ ，怎么都是这个倾向: 奶茶店倒闭,便利店倒闭?
景云的语@景云的语这个账号实际使用近一年，目前阳光信用积分为608分，信用历史分为，我基本没有因为违反社区规约被扣分。我自问一直谨言慎行，自问从未攻击逝者，姜女士亦可摸着自己的良心问问自己，在反对你的人当中，有多少人比我更尊重逝者，有多少人比我更理性客观，不要拿攻击逝者作为挡箭牌消灭: 景云的语信用积分为608分,无违反社区规约被扣分,自问从未攻击逝者。
余承东惊讶于中国车厂质量管理能力，以华为标准还处在石器时代 4月1日在中国电动汽车百人会论坛上，华为常务董事余承东在谈到华为质量体系时称，特别惊讶中国车厂原来的质量管理能力，以华为的标准来讲还处于石器时代。他表示，塞力斯和华为合作以后，质量管理水平和能力得到了数量级的提升，能做到超一流的水平。余承东称，在最开始他接手手机业务的时候，华为的故障率是苹果的好多倍，现在倒过来了，现在苹果手机的故障率是我们的好多倍，我们是他们的几分之一。: 余承东惊讶华为质量管理能力,称华为标准还处于石器时代。
一句话再私信问密码解压码的全部拉黑，全部。都不看置顶是吧？每次打开都会看到如1、2那样的系统提醒，点开就是345显示的样子，密码两个字会触发系统安全提醒，每天大量触发我的号还要不要了，我开着私信是接投稿求助的，不是来看这些的，饭能吃就吃不能吃就算。最后再给指路一次今天开始减肥了吗@今天开始减肥了吗: 私信解压码拉黑,关注系统提醒。
突然就想明白了些最近这个哔站退潮的原因不一定全面但是肯定多少沾点关联。这是我唯二关注的专区之一，美食区。近期热门，30天热门，23年度热门发现什么了嘛？前排热门几乎被3分钟以内的短视频给垄断了而且这些短视频还不一定是平台原创，而是从隔壁抖手搬运来的。独立，原创，长时间，有特色的视频，这不就是哔站的基石？号称中国油管儿？可你看现在这像什么样子？众所周知主的保底收入就是播放量转化的流量这也是哔站的一大支出这次哔站调整流量结算我琢磨就是被这些搬运工给薅的太狠了他们不需要成本投入，产出又近乎于量产。以工作室的形式发展，一份作品吃三家，这个收入比你想象的要可观。微博也有这样的，模式是一样的。据我所见的就微博这个低到可怜的广告计划模式，他们单个号一个月之前都能薅两三千。再说回主本身，哪怕是美食区的独立主，没有公司也不养团队的那种。做一期视频投入也是不小的。王师傅去年不是透露过他们的开支吗？再比如去年有段一窝蜂流行做佛跳墙，那一锅锅可都是真材实料的。每个主出个视频光食材就得五位数更别说工时费，视频加工费用。开支不变，收入锐减。广告商也因为不好的平台氛围而谋求更有效的投放。那你说这群还要靠什么来支撑长视频的创作？靠爱吗？————其实这都是微博博主走过来的路殊途同归了可以说是。: <unk>站退潮,视频加工费锐减,微博博主收入可观。
第二十三站，海南大学，我们来了！小破球来到了开启想象力校园路演的最后一站，球爸重返母校，重温梦想起航的旅程。一场场公益放映，难忘同学们的真诚眼神，不舍同学们的热情洋溢。有你们的鼓励，再远的航行，小破球都欣然奔赴。[流浪地球2][流浪地球2][流浪地球2]: 小破球在海南大学校园路演最后一站,公益放映公益放映,邀请球爸重返母校。
不限时间不限地点不限影院唯一要求 一定去看，不要浪费[作揖]小小提示 坐中后排，观影效果更好: 限时观影指南
黑美人鱼来了拒绝霉国人搞出来的政治正确。《美人鱼》是丹麦作家安徒生创造的世界著名文艺作品。把美人鱼变成黑美人鱼来讨好黑人群体，是对文艺的羞辱！赵铮同志: 《美人鱼》是丹麦作家安徒生创造的文艺作品,是对文艺的羞辱。
这个女人前一秒笑脸相迎，下一秒竟然就拔刀偷袭: 女子拔刀偷袭
说说《铃芽之旅》，完全没有任何了解的情况下去看了《铃芽之旅》，翻看了网上的评论，感觉跟我想的都不一样。不用担心剧透，因为剧情较简单。电影院人不少，大部分居然都是穿校服的学生，还有年轻的男孩子。有人说《铃芽之旅》是爱情片，我看完却觉得是亲情片治愈片。因为代入感太强，简单分享一下铃芽遇到的第一个帮助自己的女孩子是千果，千果虽然不知道铃芽要去做什么，但是依然选择帮助她，她相信铃芽一定在做重要的且是千果自己做不到的事情，这种帮助完全是单纯的女孩子对同龄女孩子独有的信任与真诚。双胞胎的妈妈在带孩子的时候打扮得很休闲普通，回店里工作接待客人的时候打扮得很漂亮，让铃芽帮忙的时候也不让她去前台，以成熟女性和长辈的态度去对待铃芽。很像现在的我，做妈妈后会试图去保护身边遇到的年轻孩子。环姨妈因为照顾铃芽错过了年轻时候恋爱的时光，有过后悔与懊恼，她说这是心里话但不是唯一的心里话。她付出了爱，最后也收获了铃芽的爱。人生总是这样，做任何决定都充满遗憾。但有舍必有得。我很害怕没有草太先生的世界。铃芽说出这句话的，我觉得夸张极了，大可不必。几面之缘而已，谈何生死。但是仔细想了下，从16岁少女的角度来说，有这样的感慨才是正常的，等到了中年后甚至都不知道什么是疯狂什么是爱了，每一步都在计算得失。爱人都变成战友。从另一个角度思考，铃芽或许不是害怕自己失去草太，而是担心这个世界如果失去了闭门师这个职业，或许会有千千万万的孩子像她一样经历可怕的自然灾害而失去妈妈。最后铃芽的自我救赎，让我哭崩溃了。因为铃芽失去妈妈的时候才四岁，而我的女儿也刚好四岁，铃芽有个大二十多岁的小姨，我女儿也有一个大二十多岁的小姨。那个寻找妈妈的小小的身影实在让我带入感太强。所以当电影院里身边的男孩子们都还沉浸在芹泽与小姨的里面的时候，我难过死了。只能感慨一句，年轻真好。另外，猫咪很可爱。希望下辈子它们的使命不是石头，可以跟爱的人一起生活。: 电影《铃芽之旅》感慨爱情故事,关注女孩成长和成长,讲述女孩和男孩成长的故事。希望铃芽的善良和勇敢勇敢勇敢,勇敢勇敢。
《奇迹笨小孩》中哥哥景浩易烊千玺@易烊千玺在妹妹景彤哈琳同学@哈琳同学一声声哥哥中迷失自我，生活很苦，但妹妹的笑容可以治愈一切，到底怎样才能拥有这样温柔的哥哥呢？: 《奇迹笨小孩》中的哥哥景浩、易烊千玺和妹妹景彤的故事。妹妹的笑容可以治愈一切,怎样才能拥有如此温柔的哥哥?
一将功成万骨枯，刘邦得天下之后过的太惨了，韩信更是壮年被杀: 刘汉惨败,韩信壮年被杀。
电影热烈跳舞花絮，王一博被黄渤夸害羞了: 电影院跳舞,王一博被黄渤夸害羞。
曾经的日本电影，是亚洲最具有生命力的。黑泽明、是枝裕和、宫崎骏、北野武、岩井俊二、中岛哲也一个个大导都在细腻的镜头语言上，有着异于常人的偏执。日影，对于细节的关注，对于人性的关注，成就了无数伟大的电影。推荐32部豆瓣评分最高日影，部部精彩动画类千与千寻龙猫哈尔的移动城堡天空之城红辣椒幽灵公主借东西的小人阿莉埃蒂侧耳倾听萤火之森你的名字风之谷你看起来好像很好吃魔女宅急便萤火虫之墓东京教父崖上的波妞穿越时空的少女千年女优亲情类菊次郎的夏天无人知晓海街日记忠犬八公物语小偷家族步履不停剧情类情书被嫌弃的松子的一生入殓师小森林告白七武士罗生门有其他好看的日影也可以在评论区推荐一下哦: 推荐32部日本电影,推荐32部豆瓣评分最高。
电影《风中有朵雨做的云》四年前的今天上映，发一组剧照师朋友保留的张颂文老师的剧照。: 《风中有朵雨做的云》上映,保留张颂文剧照。
大家有看过三次以上的电影吗？: 三次以上电影是否存在?
石振邦无价之宝预告截修: 无价之宝预告截修
《血观音》领衔主演张、张、刘好村: 张、张、刘好村主演《血观音》
听说看过电影诛仙会打败80小飞侠虽然当时只是剧粉也支持过: 剧粉支持诛仙会打败80小飞侠
正在热映，和家人一起共赴春之约吧[微风]: 正在热映,和家人共赴春之约
终途启程，车魂重燃，大银幕见！: 车魂重燃,大银幕见
《蜘蛛侠英雄无归》蜘蛛侠（新红蓝战衣）16比例珍藏人偶优化更新 秉承着忠于角色的创作初心，在产品的细节把控上精益求精，力求为玩家打造非凡的收藏体验。本次《蜘蛛侠英雄无归》蜘蛛侠（新红蓝战衣）16比例珍藏人偶在头雕的设计上进一步调整，采用更细腻的雕刻工艺和涂装技术，力求还原这位少年超英在成长中历练出的坚韧决心与神态。: 优化更新《蜘蛛侠英雄无归》珍藏人偶,还原少年超英成长中的坚韧决心与神态。
《人生大事》中拥有最萌年龄差的朱一龙@朱一龙饰演的莫三妹与小文杨恩又@杨恩又在机缘巧合下成为半路父女，小文的出现给了三哥守护与温暖，成为上天派来治愈他的一束光，三哥也逐渐在小文的陪伴下找到了生活的治愈。: 《人生大事》中的朱一龙和杨恩扮演者小文,为三哥守护与温暖,小文成为上天派治愈他的一束光。
成朗和庄文杰的坐姿怎么回事啊这个反差有点好磕[干饭人]王俊凯@王俊凯: 王俊凯和庄文杰坐姿反差好磕
前几天有吉林的朋友说，本地没有《脐带》排片。这不，说来就来！以下明天、后天两日，吉林市的放映地点和时间: 《脐带》将在吉林放映
《铃芽之旅》电影配乐《东京上空》，蚯厄盘旋在东京上空。思而复思，祈唤日不见之神，祈唤祖祖代代之土地神，此山此河，承恩甚久，不胜感激，诚惶诚恐，诚惶诚恐，谨遵神旨，予以奉还。震撼，早安！: 《东京上空》配乐震撼人心。
邓超发文抽100位朋友，超哥请你们看丞丞的新电影，一起过一个《了不起的夜晚》要说这宣传方面还得是你啊超哥[666]邓超@邓超: 邓超抽朋友看丞丞新电影
笑死是一部喜剧电影吧: 喜剧电影《死》即将上映
芹泽，为数不多蛮好玩的一个男二（我的一半笑点都在他这，另一半在草太椅那里）看起来像个富家公子哥，实际上买的是二手车，还是个努力考教资的人，开的是红色炫酷跑车，听的是怀旧经典老歌，眼神有时很屑，还有点阳光机智在身上但不多，看到环姨哭慌得一批，草太的朋友，很仗义，不妨碍欠男主2，很欣赏的一个角色: 芹泽好玩,喜欢草太的朋友。
第一次看电影看晕车跑到洗手间干呕了《宇宙探索编辑部》我谢谢你: 感恩看电影干呕《宇宙探索编辑部》。
溺水小刀菅田将晖小松菜奈: 菅田将晖小松菜奈溺水
易烊千玺短片未知动物: 易烊千玺短片未知动物
电影《泰坦尼克号》幕后拍摄花絮: 《泰坦尼克号》幕后拍摄花絮
郭帆@郭帆电影流浪地球@电影流浪地球关于太空电梯的这一段史诗级长镜头，多刷的时候发现了两个很明显的瑕疵或错误！1在两个航天员出现后，画面左下角出现的一个轿厢很明显有一小段时间静止不动，之后才突然向上运动。这是一个很好理解的小瑕疵渲染的时候模型在不用时可以不出现在镜头内，只在需要时出现，但这一段应该是镜头误把这个轿厢拍进去了（或者说渲染时运动轿厢的初始位置错误地出现在了镜头内，都是一个意思）。虽然不注意很难看出来，但一旦看到了就会觉得很难受最后镜头定格在方舟空间站正上方时，可以看到晨昏圈是沿着赤道的，这是一个绝不应该的地理或者说常识错误！可以理解剧组在制作时希望通过左右两边的明暗对比带来视觉上的震撼感，但常识和科学上的错误实属不应该希望郭导能在加长版改掉这些问题！硬科幻就应该力争无瑕疵！大家帮忙艾特一下郭导，争取让他看到！: 郭帆电影在太空电梯中发现瑕疵,希望导演能在加长版中避免误解。
电影《长空之王》将于4月28日上映，由刘晓世执导，王一博@王一博胡军@胡军于适@于适领衔主演，周冬雨@周冬雨特别主演。期待大银幕见！: 《长空之王》4月28日上映,刘晓世、王一博、于适等主演。
今天是詹姆斯卡梅隆的经典传奇电影《泰坦尼克号》在内地上映25周年。同时，今天《泰坦尼克号》也将在内地院线开启重映。《泰坦尼克号》最打动你的是什么地方呢？: 《泰坦尼克号》今日重映
投稿 宗像草太铃芽之旅投稿理由希望大家都来搞一下草太，好伟大的一张脸黑长直冷白皮泪痣，被女主踩了还会娇羞生气，认真练习作为椅子的行动方法，在配角的番外里又洗手做羹汤，太涩了吧也。。。: 宗像草太铃芽之旅投稿理由
柯南没有铃芽之旅那般营销才500万预售，果然没有营销的日本动画票房也就这样，这才是真实水平。: 柯南营销不及铃芽之旅
捏捏看《忠犬八公》哭的一把鼻涕一把泪的但是我就是喜欢看他哭: 捏看《忠犬八公》流泪
三月底上映新片有你期待的吗？全度妍饰演的杀手妈妈《格杀福顺》林心如、吴慷仁、柯佳嬿、江宜蓉主演的《模仿犯》热门动作喜剧片《谋杀疑案2》: 全度妍、吴慷仁、柯佳<unk>主演新片《谋杀疑案2》即将上映。
如果哈利波特的魔法有惊喜，也幻想可以真的会有忘情水，当不开心难过的时候，吃上一片就能暂时失去记忆，忘却那些曾让你痛心疾首的负面记忆，让你快快乐乐地度过每一天。: 哈利波特魔法有惊喜,吃片可暂时失去记忆,快快乐乐地度过每一天。
铃芽之旅成2023引进片票房冠军: 铃芽之旅成2023引进片票房冠军
乌尔善《封神三部曲》发布概念海报，太有感觉，陈坤、黄渤、夏雨主演，配角阵容超豪华，特效太吸睛。该电影改编自《封神演义》人、仙、妖三界大战，虽说魔改得面目全非，但看这特效绝对下血本了的，演员阵容豪华强大。冲着这几位票房号召力强的影帝影后，暑期档上映，想必许多人都会去看。虽说这封神三部曲噱头足足牟足劲了三年，各路角色也纷纷曝光了，但本片最大的悬念——妲己的扮演者仍在保密状态。好奇会是谁呢？估计谁演谁火。附上电影《封神三部曲》主演陈牧驰（太子殷郊）费翔（殷寿）夏雨（申公豹）袁泉（姜王后）黄渤（姜子牙）李昀锐（鄂顺）此沙（杨戬）杨玏（伯邑考）: 电影《封神三部曲》概念海报曝光,主演阵容豪华,<unk>己、黄渤、夏雨主演阵容强大。
距离影院相见倒数30天！期待与你并肩，坐在银幕前，感受彼此的呼吸与温暖。五一档爱情: 五一档爱情电影,期待与你并肩。
搞了个叶问粤语版，这大概是一次性听宋文说粤语最多的剧了，他说粤语的时候比普通话的发音更低沉，戴耳机品简直是颅内马杀鸡来的，超级超级苏！反复循环爽死谁了快转快转快转聂小宇沉迷张漂亮: 宋文听宋文说粤语最多的剧,粤语发音更低沉,戴耳机品超级超级苏,反复循环爽死谁。
说好的一对一公平决斗呢？全球精选: 公平决斗全球精选
如何一个不字都不说拒绝别人？看陈道明和李雪健的经典示范: 经典示范:不拒绝别人
北京万达影城(北京万达广场店): 万达影城北京万达广场店开业
女人忍痛裹脚，凭借三寸金莲嫁入豪门。: 三寸金莲嫁入豪门
微博电影@微博电影宝马中国@宝马中国: 微博电影宝马中国
《疾速追杀4》杀疯了！动作片文艺复兴！结局脑洞解析！第五部怎么拍？！: 《疾速追杀4》结局解析
因为感觉是原著所以代了。原图2: 感觉原著所以代,原图2
龙马精神点映观众反馈，可以直接抬走了，剧情杂乱，成龙和刘浩存的父女感情线很生硬，笑点很少，剪辑节奏太快，留白少，总的来说像成龙的自传电影，全片最感动的点，是对成龙和他的马之间感情的探讨，但是导演并没有深入挖掘到内核，反而还加了其他无用的线。: 成龙和刘浩存父女感情线生硬,导演未深入挖掘到内核,加其他无用的线。
接下来的4月，注定不会平静。因为有多达21部新片，即将登陆院线！场面甚至超过了春节档！为此我特意给大家准备了一期《本月看啥片》，供大家挑选电影时做参考。: 4月新片即将上市,推荐《本月看啥片》。
我不赞同！至少谢苗还在坚持努力！《目中无人》完全是院线级的: 谢苗支持电影《目中无人》
杀青很久了，昨晚翻手机才发现攒了这么多想和大家分享的瞬间，那就延迟发一下和肖雯相伴的日日夜夜吧！: 错过分享瞬间,延迟发肖雯照片
2 是我的遗憾，但希望是你的正确答案。: 是遗憾,但希望是你的正确答案
现在的人只谈条件，不谈感情的，就我这条件，估计连及格分都没有。真正喜欢你的人，是不会给你打分的。——电影《人潮汹涌》: 恋爱只谈条件,不谈感情。
离《这么多年》上映又近了一天耶，第一部电影稳稳的幸福，张新成李燃我们首映礼见吧。[送花花][送花花][送花花]: 电影《这么多年》首映礼见张新成李燃
每一次的循环，都是为了更爱你。来自谷雨轩陈飞宇@陈飞宇的专属告白，旋转木马真物理循环。韩书妍周也@周也心动中透露着离谱。五一档唯一爱情: 专属告白,旋转木马,五月档唯一爱情。
昨夜举行杀青宴，刺猬奶爸时隔几个月终于刮胡子了《哈尔滨》从蒙古拍到韩国再拍到拉脱维亚，从去年11月20日到今年3月29日，共拍摄130天，现已全剧杀青。: 《哈尔滨》杀青130天,刺猬奶爸刮胡子。
想不通为啥有人会觉得铃芽是恋爱脑，她不仅不是恋爱脑，她简直就是恋爱大师操盘手希望各位女生都和她学习一下看男人的眼光给大家分析一下草太的人设到底有多强恋爱脑指的是什么？是一种一切以爱情为主的思维及行动模式。判断恋爱脑一般要有这么几个要素1、当事人把爱情作为最重要的考量标准。2、当事人无法对自身所处的爱情状态、关系维系和对方情况做出客观的判断。3、当事人因为前两个要素而对人生或环境或他人造成了负面影响。铃芽是不满足任何一点的。铃芽不仅不是恋爱脑，她是恋爱操盘手还差不多。我在完整影评里已经说过，铃芽虽然第一眼就觉得草太太美了但后续的行为并非出于爱情，而是出于对自身造成严重变故的挽回。 是责任感的表现 草太是她在旅程之中逐渐看到了各种闪光点而做出最后决定一举套牢的。可以说，如果各位女生都能像铃芽这样有看男人的眼光和把控爱情的远见，离婚率能下降八成。这也是为什么不建议男生邀请喜欢的女孩一起去看《铃芽之旅》的原因女生很有可能认识到你不咋地的客观事实。分析一下草太的超强人设，大家可以看一下这位的条件到底有多好1、长得非常漂亮。这种好看不是普通的班草校草的水准，是高中生能在路上一眼看傻的水准。2、身高185，肩宽腿长，肤白貌美气质佳。（大家可以想一下就别说现实里了，娱乐圈185还貌美如花发量过人气质优雅很有文化饱读诗书的男的有几个）3、发量很大，头发茂密，显然没有秃头的风险。4、性格温柔善良，礼貌绅士，进退有度。没有任何对女性不尊重或性化的痕迹（甚至这一点让人觉得有点。5、会带孩子，男妈妈。女主完全搞不定小孩，草太一个人带俩孩子熟练得宛如月嫂。可见对于常规异性恋婚姻后续阶段会节省多大的开支。6、无不良嗜好，饱读诗书，热爱学习。公寓里满满当当都是书，而且都是有一定深度的专业书籍，那种什么《三句话教你赚五百万》之类的成功学和鸡汤书一本都没有。7、在东京读大学，成绩不错，学历保证。8、目标明确，想做老师，在备考教师资格证，以后职业和收入有保证。9、从公寓可以看出为人很爱收拾，家务做得也很好，他的房间是新海诚目前所有主角里最整洁的一个。而且女主直接穿他的鞋子出门，能让女高中生直接穿的鞋，那得有干净？能让女高中生直接进去洗澡的男生单人公寓，那得有多整洁？10、家里代代从事能左右数万，数百万人生命的神秘工作。能做这样职业的人，一般都有很强的奉献精神，很强的自我约束能力，且会有很强的精神回馈（就是不会进入到人生空虚的那种质疑之中，精神层面丰富而饱满），虽然草太说这个吃不饱饭，但现实一点来讲，这种重要的职责怎么可能真吃不饱饭呢。11、没有父母，只有一个爷爷（而且看草太的意思，似乎也不是亲生的），没有赡养的担忧，婚后会全心投入自己的小家庭。铃芽之旅中，铃芽其实是一点点看到了草太的种种优点，从最开始的真美啊进化到到喜欢的人那里去中间都是对草太的了解。就大家可以分析一下，只要取向为男的人，不论男女，有人能不喜欢草太这种宜室宜家的六边形战士吗？[微笑]最不现实的是都大四了竟然没被人分了吃了（可能是因为芹泽虎视眈眈劝退了之前其他的女生吧所以铃芽怎么可能是恋爱脑呢？她是逐步观察，确认对方的各种之后才（理所应当）产生了爱意。之后再一举拿下的这是何等可怕的眼光和强大的执行力。真的，希望各位女生都学学人家的眼光减少一些别靠近我男朋友她男友河童的异性恋悲剧。（完整影评《155骑士拯救185美丽公主的冒险故事》: 铃芽的超强人设,分析恋爱脑和性格特点。
里就感觉尹昉对张婧仪图谋不轨，哪一个男生会大晚上的邀请女生夜游长沙啊，还是初次见面，很难不像张婧仪一样怀疑你不是想睡我吧，真的很好奇他们都发生了啥！: 猜测张婧仪与尹昉的恋爱关系。
班里转来四大天王，当老师被混混欺负时，及时出手相救，太霸气了: 四大天王勇救老师
小齐提交一份观后感涉及轻微剧透！轻微！: 齐齐分享剧透申请
电影如美梦，是你永远无法忘记的美梦: 电影中的美梦,是你永远无法忘记的美梦。
再刷无名，真的感叹王一博的演技，从神情到身体，面对渡部那群人，他在心里是蔑视厌恶的，甚至肩膀都微微倾斜，把那种亦正亦邪演的入木十分，到了佛堂泪还有表明身份那里，整个人立刻不同了，从眼里心里照耀出信仰的光芒，每次看到这就有一句话盘旋心里我永远热爱我的祖国: 感叹王一博演技,从神情到身体,面对渡部那群人,他在心里蔑视厌恶。
了不起的夜晚北京首映礼: 了不起的夜晚北京首映礼
拍摄现场温情的一幕，宝贝，谢谢你的温柔！: 拍摄现场温情的一幕
《铃芽之旅》与《深海》目前只差01分，而铃芽目前10评分，深海32，你觉得铃芽能打多少分？: 《铃芽之旅》与《深海》差1分,铃芽目前10评分。
在一位朋友的建议下，分享一组骷髅幻觉主题的电影海报。: 分享骷髅幻觉主题电影海报
一个粗糙的预告混剪 《无价之宝》《我和我的倒霉父亲》: 预告混剪《无价之宝》《我和我的倒霉父亲》
月入三千的小伙，意外穿越到了物价贬值的世界，开启了巅峰之旅！: 小伙穿越到物价贬值世界,开启巅峰之旅。
1997年3月28日，《97古惑仔战无不胜》香港上映。做大事三个条件，钞票，钞票，还是钞票！: 《97古惑仔战无不胜》香港上映
2023北京国际电影节首轮片单: 2023北京国际电影节首轮片单
流浪汉捡到一双皮鞋，穿上后竟变成另外一个人: 流浪汉穿鞋变另人
电影《无名》让我印象深刻的戏，恰恰王一博在《无名》中卡车上的笑，一分嘲讽二分挑衅三分惊悚四分得意，注定将成为影视经典，值得好好品味。影评王一博令人演技惊人一呼演技犀利，文又得，武又得，上海话好听，日语说的全部自己原声出镜，是青年一代最优秀的演员。卡车这一段真的绝了啊。: 电影《无名》影评王一博演技精湛。
美术图9快醒醒散场了整理了部分主要绘制的深海美术图，这里包含了连镜的气氛图和针对镜头的概念设计。感谢2018年把我带入到这个项目的早期视效总监陈铭。以及金老师，易巧和田导对我的信任。还有，在2019年探索未知效果的过程中，对我美术上有着很大帮助和深远影响的张渔@张渔最后，谢谢喜欢和一直支持《深海》的海海们，有你们真好！(以下作品，是受版权方十月文化委托，为电影《深海》创作的专属美术图)电影深海官微@电影深海官微深海十月@深海十月: 收集了部分绘制的深海美术图,感谢电影《深海官微深海十月》的早期视效总监陈铭和易巧和田导对我的信任。
好漂亮的西西不会吹[团圆兔]视频开头美颜暴击太漂亮惹: 西西不会吹,美颜暴击漂亮。
4月7日将上映《龙马精神》，成龙不容易啊，这把年纪了还要和没啥演技的刘浩存、郭麒麟搭戏。从影60年，电影一年比一年少，我们也是看一部少一部，但愿这次不要扑街。: 成龙、刘浩存、郭麒麟将主演电影《龙马精神》。
憋了好久终于可以发了马里奥大电影完全超出我的意料！没想到一个不以剧情见长的游戏，也可以把角色做得超有魅力，桃花公主太酷了而且马里奥的平台跳跃基因也通过电影的形式帅气地展现了出来，英姿飒爽。整部影片非常欢乐，有梗有彩蛋！能看到马里奥64、马里奥银河、奥德赛、马车等等元素，全程都能放声大笑马里奥玩家大满足，有些场景出现的时候我还有些小感动呢一定要去看！！！（结尾有两个彩蛋，记得看完再走）: 马里奥大电影欢乐欢乐,有梗有彩蛋,玩家大满足。
关晓彤为《了不起的夜晚》打！同时也期待他们合作的《曾少年》播出啊！: 晓彤为《了不起的夜晚》打,期待合作《曾少年》。
上映倒计时1个月！[冲刺]宇宙天团最后集结，《银河护卫队3》5月5日一起踏上最终征程: 《银河护卫队3》倒计时1个月
长空之王北美中国内地同步上映: 北美中国内地同步上映
《泰坦尼克号》25周年纪念各地重映票根欣赏: 《泰坦尼克号》25周年重映票根欣赏
大可不必，我的钱也是钱: 我的钱也是钱
戏客现场 电影《龙马精神》首映礼，郭麒麟郭麒麟@郭麒麟被问到养宠物，郭麒麟表示，父母会养，自己不养宠物，是因为自己平常工作很忙，害怕宠物在自己家得不到好的照顾，现在还没有能力照顾好宠物，的确也是负责任的一种表现，跟导演合作两次都有动物，只有和导演合作才过有宠物的日子戏客: 郭麒麟回应养宠物问题,与导演合作也有动物。
