机场航站楼门口偶遇鞠婧祎鞠婧祎这腰比我腿都细本人真的好美！！: 机场偶遇鞠婧祎
太令人惊喜了吧，张译在满江红里的演绎真的是非常的精彩，也非常的能拿捏住这个角色的特点。不仅吓到的岳云鹏真的是把我也吓了一大跳了不过非常的出色！: 满江红里的张译
中的哪些科幻元素已经被我们实现了: 2014年2月25日电视纪录片看点央视纪录频道-科幻
王一博@王一博巧遇一博: 王一博@王一博巧遇一博
刘培强韩朵朵回娘家了: 韩朵朵回娘家了
盖茨比如果懂得人生无常，也许不会为执念牺牲。男女情爱最终当不了信仰。烟花很美，但散场了必须干净地走人。看到他们扔衣服那段还是掉泪了，因为我们念想的美好的一切，其实都是自己排演的戏剧。各种漂亮的闪闪发光的奇观，和驻足在窗口或街道或海对面的观看者。黛西就是盖茨比的奇观，他其实从没了解过她，单恋者的典型悲剧就是用观看代替认识。: 黛西就是盖茨比的奇观
2023开年首部港片巨制《风再起时》今日发布终极预告，预告展示了磊乐（郭富城饰）和南江（梁朝伟饰演）之间狠劲十足剑拔弩张的一面，其中磊乐掌掴南江的片段更是压迫感拉满。随后蔡真（杜鹃饰）的一句可不可以别再跟磊乐对着干，让观众对三人的爱恨纠葛更加浮想联翩。《风再起时》2月4日全国点映，2月5日元宵节全国上映，预售正在进行。电影风再起时官微: 《风再起时》终极预告
电影《没有一顿火锅解决不了的事》开通官博主演杨幂，很是期待: 《没有一顿火锅解决不了的事》开通官博主演杨幂
满江红（2023）我的评分[星星][星星][星星]刚看完《满江红》确实不如《流浪地球2》，我是先看小破球后看的满江红，很有落差感[]一方面是牛吹的大，豪华明星阵容但景少人物少，还能成本几个亿？大过年的血腥镜头多还硬要加笑点，悬疑不悬疑，喜剧不喜剧沈腾岳云鹏确实很好笑，但好几次人命接笑点，会有生理不适剧本杀的剧情，逻辑不自洽，这么多人慷慨赴死就为了念一首词？民族情绪氛围烘托不够，很生硬，就是一部矛盾的纯商业片，《满江红》电影，真的对不起《满江红》这首词。: 满江红电影评分
假期的尾巴终于来看流浪地球了电影院也终于空旷了倔强的小红军: 流浪地球了电影院
程耳导演，梁朝伟王一博主演的谍战片《无名》内地票房已达66亿元，平台预测总票房会达到8亿水平。好作品果然是会发光的，片中的表演精彩，叙事手法巧妙，是一部在观看时令人思考，观影后令人回味的作品。《无名》这样风格化的影片获得高票房是积极的市场表现，观众看到了独具匠心的电影表达，电影主创获得了持续创作的市场信心，《无名》继续加油吧。: 《无名》内地票房达66亿
这就是经典喜剧的魅力，每个名场面都可以背下来的程度，10年后看还是能笑出声的那种搞笑。[]: 经典喜剧10年后看还是能笑出声的那种搞笑
老虎和熊猫的日常生活补春节档20[哇][送花花]蛮好看滴: 熊猫的日常生活补春节档20
啊啊啊，超级喜欢这一段啊在电影院里看特别的惊悚血腥叶先生疯批且脆弱像是吸血鬼复活邪神附体杀神降临地狱之神踩着鲜血岩浆走出来: 电影院的吸血鬼复活邪神附体杀神降临地狱之神
我刚一刷完时马老师的相关分析明明还是正面解析可成圣，反面解析是大这种超时髦人设。现在已经满屏呼喊码头必需有薯条了。我等着看海鸥周边和官方设定集到底哪个先出来。: 海鸥周边和官方设定集
郭京飞杀青之后和工作人员的互动怎么可以这么有趣，果然不愧是喜剧人，王统领这憨憨的样子真的承包了我今日份的整个欢乐呢。: 王统领与工作人员互动憨态可掬
光看这些打卡图都很有质感，程耳导演选景太用心了，怪不得看电影的时候如此沉浸，仿佛身临其境一般，瞬间想去打卡了: 程耳导演选景太用心
绝地追击定档4月7日欧豪谷嘉诚俞灏明黄尧主演的灾难动作电影《绝地追击》定档4月7日！该片根据真实案件改编，九十年代末我国西南边境，8077边防武警特战队在一次剿毒任务中，先后遭遇山洪灾难和毒贩的算计，死伤惨重。为了牺牲的兄弟，8077幸存战士誓死展开绝地追击！: 《绝地追击》定档4月7日
各个平台都涌现出了刷不完的安利和解析贴，是无名的自来水无名的观众一起陪着电影冲过了市场一开始的偏见！我们不缺爆米花电影，但我们缺真正的好电影！: 爆米花电影,但缺真正的好电影
蛋蛋全代入式看电影！吴京老师要不要也开始带徒弟呀！: 全代入式看电影!吴京老师要不要也开始带徒弟呀
恭喜《流浪地球二》依靠强大宣传和强大明星阵容票房突破30亿了，此时剧情更精彩爱国情怀明显的《满江红》已经接近了40亿。流浪二很难超过满江红主要时间太长剧情比较混乱春节不适合灾难题材: 流浪地球二很难超过满江红
《流浪地球2》官方推出2023张月壤卡，纪念月球离开的第一个元宵节月壤卡是由《流浪地球2》联合卡系团打造的集换式卡牌，官方表示，将于本月10日1200在微博抽奖发放20张，目前不进行公开售卖大家对《流浪地球2》的月壤卡感兴趣吗？: 《流浪地球2》推2023张月壤卡
梁朝伟王一博主演的电影《无名》将于2月17日在北美上映。好的电影值得被更多人看到，又一波文化输出呀: 朝伟王一博新片《无名》北美上映
这种腔调，这种质感，全员演技炸裂，还有满满的紧张感，优秀的作品应该被全世界看到，值得更多人认可，恭喜《无名》走出国门！！: 《无名》走出国门
当有趣的脑洞碰撞神秘的科幻，想象力的种子从此长成科幻的萌芽。宇宙的奥妙没有边际，来和小破球一起慢慢探索吧！: 脑洞碰撞神秘的科幻
电影《无名》自上映后争议不断，程耳导演独特风格遭遇两极化评价，在做客6电影频道《今日影评》的北京电影学院教授吴冠平看来，电影中梁朝偉@梁朝偉反复擦拭衣服上血迹，以及王一博@王一博换领带等细节上的考究都是服务于复杂的人性，一个点心盒子也好，一个西服也好，来让这样的一个历史场景变得更加的真实更加生动今日影评: 今日影评:梁朝<unk>反复擦拭衣服上血迹
15刷《深海》，从点映开始每天看一场，多一张票是我妈的，最早凌晨五点半起床，最晚半夜130散场，献给走过长夜的你，没有一场不流泪，从没有迟到早退，每一张都是实打实看下来的，我觉得这是对电影创作者的尊重。深海异客@深海异客大勇@大勇田博@田博林安兒@林安兒音乐人窦鹏@音乐人窦鹏窦鹏音乐工作室@窦鹏音乐工作室深海号海獭@深海号海獭: 《深海》点映开始每天看一场
原来图丫丫一个小小的房间都有这么多细节！流浪地球真的好用心啊！我们小破球值得！: 流浪地球的小房间
《无名》导演程耳说观众的审美是需要培养的这是导演的工作永远不要低估观众不要低估观众的审美。秉承这样的理念，必然会制作出精品电影《无名》。: 程耳:观众的审美是需要培养的
视频发出，易烊千玺的哭戏真的太让人共情了，眼神里面全都是戏，情感的表达诠释的很好，谁不喜欢易烊千玺饰演的孙统领呢！: 易烊千玺哭戏让人共情
古天乐扮演的傻子打麻将被骗，没想到哥哥是赌王这下惨了: 傻子打麻将被骗 哥哥是赌王这下惨了
继续咀嚼《无名》，8个细节。也欢迎继续在评论区讨论。: 咀嚼《无名》,8个细节
没有薯条的宇宙毫无意义！: 薯条的宇宙毫无意义!
我发现郭导是起名苦手。培强是郭导父亲的名字咱就是说，培强这个名字也是让破球这部片子由内而外散发着真实接地气气息的重要原因。这个名字太瓷实了，有着浓重的六零年代烙印几个23年的新生儿会起名叫培强啊！！！！！！但是如果京的角色叫刘奕辰或者刘梓轩你受得了吗我想了想有点起鸡皮疙瘩周喆直亏了我还认真思考过这个名字内在含义，他娘的然后就被告知这是郭导某位老师的名字我怀疑郭导用这个名字的唯一原因是姓周。郝晓希好消息，破晓的希望。真的，太敷衍了。当然，比起她儿子李一一，郭导似乎还稍微动了动脑子。张鹏反正他肯定有个亲戚或者同学或者朋友叫这个。按推算张鹏应该是个95后，95后叫这个名字也不多见吧相比之下，韩子昂作为99年生人，名字倒是非常合情合理。韩朵朵这名字真的太直男气息了。我怀疑他某个朋友的小女儿叫朵朵。丫丫这个很多人说过了，倒过来是人。所以找佟演孩子妈，八成是因为佟叫丫丫唯一让我感觉郭导有用心想的名字就剩图恒宇了。图，致敬图灵。恒宇，时间空间上的无限，对应他上传成数字人。认真想了，但也没想太多哦，还有马兆。兆，据说对应真的，偷懒，太偷懒了。怪不得他能跟给女朋友起一名字叫龙小云的吴京一见如故。: 郭导起名苦手
只有韩国能想出这种剧情，笑死了: 韩国能想出这种剧情,笑死了
蔚蓝的香气: 蔚蓝的香气
如果让你和暗恋的人的对象交换身份，成为一家人，你愿意吗？反正我是很愿意！！！故事题材这部电影讲的是仲达（雷佳音饰）和暗恋金好（张小斐饰）的对象陆小谷（张宥浩饰）交换人生，在故事中陆小谷捡到一个奇怪的东西然后许愿希望成为金好的男朋友，于是和对方互换了身份。总体评价想必这部电影肯定是很多人的愿望吧？如果自己能捡到一个互换身份的奇怪东西就好了！！张小斐也从《你好，李焕英》妈妈的身份变成了《交换人生》中时代女神的角色，而一直被称作大叔的雷佳音在剧中饰演的是一个青春少年，虽然有着大叔的外貌却有着一颗少年的心真的满满的喜感和笑点: 电影《交换人生》陆小谷角色互换
《中国乒乓之绝地反击》正式定档2月17日，邓超说我们的努力不会停，真的很想看这部电影，狠狠期待电影中国乒乓: 邓超新片定档2月17日
很多电影看十分钟就能打开观众的想象力，比如想象一下如果电影院大银幕上有个一拖到底的进度条该多好: 电影十分钟打开观众想象力
宁理老师最近一直在忙着找薯条，今天终于有机会亲自喂食海鸥！宁理老师还开玩笑对导演说我费了半天劲儿，演了三个月没想到马鸥火了。[]: 宁理老师亲自喂食海鸥
！姐姐好酷！倪妮的可塑性真的很绝，感觉什么风格都好适合她呀！！[哇]端午一起去看看倪妮新剧呀！！: 端午一起去看倪妮新剧
观影后最让你没有感到失望的是哪一部电影？: 观影后最让你失望的是哪一部电影
《满江红》释出一支片场花絮张译饰演宰相府总管何立，一段威逼杀害的戏份在他的演绎下一气呵成，身旁的搭档岳云鹏也被张译演绎的反派所震慑。看过电影的你，给张译的表演打几分？[开学季]: 电影《满江红》释出片场花絮
原来我们无名，不仅是上座率日冠，还是场均人次日冠，今天又给我们发了一张奖状: 无名奖状:上座率日冠,场均人次日冠
让人类保持理性很难，但是海鸥可以（是海鸥马兆短漫）二刷电影时马主任的海鸥形象已经在脑内挥之不去了: 海鸥可以(是海鸥马兆短漫)
梁朝伟王一博《无名》映前媒体预测从近5亿上涨到864亿，目前该片总票房666亿，算不算超出媒体预期？: 朝伟王一博《无名》票房666亿
电影《无名》，导演把那个年代家国的破碎感，国人随风票摇的无助感用片段镜头画面表现得淋漓尽致，发人深省，而且细节严谨，隐喻多次引用，后劲十足，体现了导演的才华底蕴和花的时间精力，还有全体演员演技出彩，值得二刷！王一博@王一博: 《无名》片段:国国破碎感,国人随风票摇的无助感
筱青挽云妆: 筱青挽云妆
光绪26年这里观众的解读合上导演的想法了，的确是他没有跳出那个年代的思想枷锁，无名的影迷也很厉害！: 合上导演的想法
金巧巧发文我从来没有暗指《满江红》排片多好吗？请别带节奏好吗？: 《满江红》排片多好吗?
总票房破8！（一直看的是灯塔，这次也以灯塔为准啦）终于，种了8个太阳！今天实时票房也能破8，期待官微华丽丽的海报[好喜欢]（提醒还没看到的要抓紧了）: 电影票房破8
别听我说，听内心呼唤，这是否是你想要的结果。《怦然心动》: 《怦然心动》
你有没有为了看一部电影跨越一个城市呢？无名给你答案！: 无名给你答案
【来自五周年半山坡的红海视频】五周年算是我第一次参加线下活动，现在回想起来真的只有一个字嗨。没想到有那么多纸鹤，没想到大家都那么激动，没想到山脚下的千玺那么帅，没想到会和那么多人一起大喊他的名字，更没想到那一晚会红海炽热燃翻工体总之，周年的乐趣，真的是谁去谁知道: 五周年半山坡的红海视频
17万，累计217亿: 万万累计217亿
王一博16岁时和姚晨演过大学情侣: 姚晨一博16岁时和姚晨演过大学情侣
观众问刘德华吴京再次合作的感受？吴京表示刘德华不仅会打，还是带着戏去打，刘德华现场放狠话明天开始练，你小心他也和吴京相约《流浪地球3》的打戏。吴京十几年后再次合作，觉得华哥没变，不老男神嘛，他负责颜值，我负责对比和反差。我很愿意和华哥拍打戏，因为他不仅会打，还是带着戏去打的我最敬佩的是华哥有一次吊威亚，威亚断了他摔了，但他说没事没事再来一条，我特别敬佩他。刘德华明天开始我就会练，要再跟你打一场，你小心。从《杀破狼》开始我就看他打，我很希望每一个年代有一个功夫巨星出来，他现在真的是一个功夫巨星。谢谢他给我这个空间，有时候我也怕我达不到他的要求，因为他真的是细节控。希望未来我们的动作戏会吸引大家看我们《流浪地球3》: 刘德华吴京合作
挑了几段观众网友影迷对叶先生的形容！他的味道和冲击力可塑性是在整个电影界都很少见的观众影迷看完电影发出来这段感慨大胆又直白！就是每一个平台都能看到对叶先生的惊叹: 叶先生的味道和冲击力可塑性
看完流浪地球2真的想要马上参与拯救地球行动中！这不马上就在明日之后里通过了的认证，富有爱心有喜欢宠物的我成为了机械狗调试专家！姐妹们速来看看: 流浪地球2机械狗调试专家
张译我在这儿秀智商呢！岳云鹏你在高山，我在洼地[微笑]《满江红》: 岳云鹏你在高山,我在洼地
金巧巧（博纳老总妻子）发文谈梁朝伟王一博《无名》不仅提到排片，还说春节档里有一部电影，真的不好看，这是在说哪部电影: 博纳老总妻子发文谈梁朝伟王一博《无名》
近十年最好看的电影夏洛特烦恼: 十年最好看的电影夏洛特烦恼
郭帆《流浪地球2》票房破30亿。有趣的是，片方还在不断地举办路演和讨论活动，这将为影片话题性的扩散和后春节档的长线收入提供稳定支撑。《流浪地球1》曾达到47亿的惊人票房，依靠得也是这种绵长的后劲儿。: 《流浪地球2》票房破30亿
正在热映的《流浪地球2》为观众带来了视觉与信息量的盛宴。继第一部的成功之后，续集剧本既要超越自我，又要更具吸引力。三条故事线如何通过不同的设计编织在一起？编剧工作都需要考虑电影中的哪些方面？创作期里经过哪些修改和调整？有哪些剧情被忍痛割舍？剧本里又埋藏了哪些不为人知的秘密？请听本期机核专访《流浪地球2》编剧杨治学老师！: 机核专访《流浪地球2》编剧杨治学
谁学生时代没吐槽过手抖的食堂阿姨，论文和学分那个大学生应该也很有共鸣吧，程耳导演你是懂大学生的！: 程耳导演你是懂大学生的
下次见面可以拍这个！: 第一次见面可以拍这个!
程耳贾樟柯黄磊北大对谈无名: 贾樟柯黄磊北大对谈无名
注意看，这个男人叫小帅，他的妻子小美已经失踪15天了某天他醒来突然发现身边躺着一个陌生的红衣女子，声称自己就是他的妻子，并叫出了小帅的名字这究竟发生了什么，是一场蓄谋已久的阴谋还是别有用心的恶作剧事情的真相即将浮出水面6月22，《消失的她》邀您一同解密事情的真相朱一龙@朱一龙: 《消失的她》邀您一同解密事情的真相
不得不说，满江红这个电影真的是非常的精彩，让我们看到了很多演员的魅力，而且这一次看到了，郭京飞是里面第一个领盒饭的时候就觉得非常的让人意想不到呢: 满江红郭京飞领盒饭
时代在变，年轻的面孔也在变，但爱国和追求进步的目标永远不变，红色基因的底色永远不变，始终奋进在时代前列的精神永远不变。王一博@王一博: 王一博:红色基因的底色永远不变
强烈推荐《熊出没伴我熊芯》温暖亲情初一全家人一起看了一部3电影《熊出没伴我熊芯》。电影故事讲的不错，全程没有尿点，老少皆宜！2023年第一天的感动和幸福是这个片子给的。故事讲述熊大熊二幼年在一次火灾中与妈妈失联。长大后的熊兄弟与朋友光头强一起开车送苏洛教授参加机器人展，不幸卷入一场铁甲怪绑架苏洛教授的事件。意外遇到一只和妈妈特别像的白熊，她被胁迫抓住苏洛教授，而熊大熊二和光头强要解救苏洛教授。双方发生了激烈而又搞笑的搏斗。最后不仅解救了苏洛教授，还抓捕了实施犯罪的南洋。他用白熊的孩子胁迫白熊，并带领铁甲怪绑架苏洛。故事到这里只是一个暂时的胜利，真正的幕后黑手出现了。他就是苏洛妈妈的同事东海教授，同时也是南洋的亲哥哥。他救出南洋，再次绑架了苏洛。原来，东海当年觊觎苏洛妈妈的机器人芯片。人为纵火害死了苏洛妈妈，并利用芯片制造了铁甲怪。这次绑架苏洛，是因为发现苏洛身上可能有更高级的科技芯片。而白熊是苏洛妈妈为熊兄弟制造的机器人熊妈妈，后来被东海抹除记忆后带走。最后光头强，熊大熊二苏洛熊妈妈共同合作，一起打败了东海和南洋。东海和南洋被迫逃到了孤岛，永远也回不来了。熊大熊二找回了熊妈妈，熊妈妈找回了回忆和孩子苏洛找到了最新的芯片和与妈妈有关的真相。光头强也得到了勇气和友谊。全剧以爱为主题，以寻找为线索。熊大熊二为爱寻找熊妈妈，熊妈妈为爱解救熊宝宝，苏洛为爱寻找妈妈的遇害真相。最终寻爱的人们都得到的圆满，为利益不择手段的人们得到了失败和放逐！作为父母，对影片中温情的片段感动的热泪盈眶爱的最高境界是双向奔赴，父母与子女的爱亦是如此。主创们通过电影永远地定格了熊大熊二对失去妈妈的不甘与不舍，以及母爱的奉献和无私，母子间亲情的双向守护更是令人动容。孩子永远是母亲的软肋，她们深爱着彼此，连误解都变得那么可爱。这些汹涌澎湃的情感，淋漓尽致地体现在作品中的每一处细节里。印象中能把情感拍得非常细腻且动人的儿童电影，珍贵难得。能带给观众美好的憧憬和令人动容的温度，也是该片的魅力所在。春节带着家人一起感受下吧最后打分的话打10分，总体来说非常可以！: 电影推荐:熊大熊二
无名北美版海报: 《名名》北美版海报
一定要拜读一下，看看解构！: 拜读一下,看看解构!
刚重温了《流浪地球》，和《流浪地球2》不同的一种感动和热血澎湃觉得中国科幻有这两部作品作为开山之作，真是太好啦，太好啦早些年看《三体》的时候就在想，如果有一天我们的电影工业技术到达了那个地步，拍出来将是何等的饕餮盛宴但是《流浪地球》系列以极高的质量和深厚的人文精神，讲好了一个中国故事，创造了一个科幻极高峰，让中国科幻电影像坐着太空电梯一样嗷嗷往上窜，给同类型做了个最好的榜样，硬生生让我们这些科幻迷的梦想提前了得有几十年这种感觉是在太好了球球了！郭帆@郭帆在保重身体的前提下好好打磨球三！！真的非常感谢您，孩子们都指着这一口饭了！！过两天空下来了再去刷一遍《流浪地球2》！刚刚一直在脑洞球三该讲什么故事，不知道是按照原著给个氦闪结局还是讲新的故事，甚至想到了行驶到半人马座星之后怎么开展。到时侯会不会炸掉一个太阳让地球绕一个稳定的双星系统旋转呢？刘培强的好几百世孙也应该有了，和刘培强长得一模一样，不过分吧[][][]绝对没有再让京哥演的意思[][][]: 刘培强新片《流浪地球》
我其实很担心。球2后，会和球1一样，冒出许多挂羊头卖狗肉的科幻片。最可怕的是，这些科幻片说不定还真能忽悠来一波投资，弄点特效，像真的一样。但现在看出去，市场上好的剧本并不多如果要说小说改变，不少小说也就是套个科幻皮的打怪练级文，也很没意思。有深度让人惊叹的没几个我推荐影视公司，真要搞。不如找找，科幻世界这种，90年代开始的，一本本翻，看看有没有什么短篇，脑洞比较大，有意思的。问作者买回来，添油加醋做改编，比一群不会科幻的现编要好多了: 科幻世界这种90年代开始的科幻片
易烊千玺满江红拍摄现场孙均有些事比生死还重要，所以他们前仆后继，舍生取义，就是为了这首满江红。易烊千玺@易烊千玺: 易烊千玺满江红拍摄现场
日本艺术院线将在6月举办张曼玉作品回顾展，放映电影包括《阿飞正传》《阮玲玉》《甜蜜蜜》《迷离劫》《花样年华》《清洁》《东邪西毒终极版》: 张曼玉作品回顾展6月举办
截止现在去电影院看过最烂的电影是？: 截止现在去电影院看过最烂电影
》是皮克斯的诚意之作，无论是制作效果还是剧情编排都属上乘，值得一看，但如果你非要用科普的角度去看这部电影，那么只能说漏洞百出，你就会感觉非常不爽，所以劝解各位，抱着一颗娱乐的心去欣赏这部电影，你才能体会到其中的乐趣，否则就是无尽的烦恼。: 皮克斯的诚意之作
反正你们最终还是要在凯子哥的电影里相聚: 你们最终还是要在凯子哥的电影里相聚
战争题材新片《盟约》发布正式预告（是祖国人你没看错），4月21日北美上映[喵喵]: 《盟约》发布预告4月21日北美上映
人民日报点评梁朝伟王一博的《无名》！《无名》给观众带来的，不仅是观影体验的丰富，更是延展思考的空间，回味的后劲儿你们看《无名》了吗？强烈安利！一部好电影值得多次去回味: 人民日报点评梁朝伟王一博的《无名》
沈叔叔还是当初的沈叔叔，艾伦也还是我回忆里的那个大傻春555，果然不管时光如何变迁，他们都还是最好的他们啊: 叔叔还是当初的沈叔叔艾伦也还是我回忆里的大傻春555
春节档电影为何叫好又叫座: 春节档电影为何叫好又叫座
电影《无名》曝光一支现场花絮，在拍摄现场江疏影提到王传君大学时曾跳过霹雳舞，王传君忙说不要暴露。当被问到会跳什么舞蹈时，王传君说各种都可以，赶忙指向在旁吃瓜的王一博，说师父带得好。影片正在热映。: 王传君大学时曾跳过霹雳舞
（记者肖僖万旭明制作吴天琦审看郑慧）: 吴天琦审看郑慧
国家队团建式喊话电影《流浪地球2》有！拥抱未来，绽放希望。我们在，一直都在，这联动简直不要太硬核: 流浪地球2喊话电影《流浪地球2》有!拥抱未来,绽放希望
移山计划导致地球停转，于是第一部里，地表冰天雪地，显然无法种植农作物了。未来人们不得不住在地下，现在以蚯蚓干蚊子饼为食物已经是常态。所以电影里，周喆直和马兆在港口那边的对话，人类的终极目标是什么？整点薯条。不是在玩梗，是真的在期盼未来，和坚信能看到蓝天，鲜花挂满枝条一个逻辑，也反映了中国人民以食为天的朴素思想。不愧是流浪地球2，每句台词都好有深意啊【你清醒一点】: 周喆直和马兆在港口那边的对话,人类的终极目标是什么?
说着说着，我又想再看: 随笔集:我又想再看
几十亿人嗨一百年，到点走人: 几十亿人嗨一百年
狗仔曝王一博与女顶流关系暧昧: 曝王一博与女顶流关系暧昧
无名作为一部风格化明显的电影在春节档上映，本身就需要很大勇气，毕竟对于春节档来说，合家欢的电影更加讨喜，但这种勇气也会促进电影多元化发展，电影不止是生意，希望未来有更多的导演拍不同种类的电影！: 春节档电影推荐
《流浪地球2》的路演结束了，从科学家马兆的身份里跳脱出来，回归日常，做做饭洗洗衣服但看到眼前的洗衣机和翻腾的水，我陷入了沉思: 流浪地球2的路演结束
存一下郭帆导演和被蹂躏的马兆老师谢谢我的摄像老师精致吃糖女孩@精致吃糖女孩[苦涩][苦涩]: 郭帆导演和被蹂躏的马兆老师谢谢我的摄像老师精致吃糖女孩
流浪地球2票房破29亿: 流浪地球2票房破29亿
电影无名的空镜太美了画面特别干净人物和环境融为一体而且明暗场景的对比非常鲜明把不同的立场不同的境遇全都渲染出来了人物形象非常立体人物情绪很饱满无名没有把人物框住而是放大化他们的动作眼神让你陷进电影的节奏王一博@王一博: 无无空镜太美了画面非常干净
相关即可的电影值得更多人一起品[耶]抽奖详情: 电影值得更多人一起品[耶]
2023年流浪地球系列，最新宣传海报流出。【不是: 流浪地球系列宣传海报流出
流浪地球2仙品也是需要解读的。周喆直坐轮椅上，门框机器人突然变防护墙挡海浪那幕，苏得我发癫嗷嗷叫但还是想少了。直到看一个工科生在发大疯，说别看这么个简单动作，几秒钟，比按照图纸造发动机都牛，自主决策自主执行是相当复杂的，就这小小一段，已经能展现出这个人工智能发展到了多高的程度。: 流浪地球2仙品:工科生在发大疯
不想打字。流浪地球流浪地球: 流浪地球流浪地球
汤唯分手的决心: 唯唯分手的决心
海报上两位一改严肃气质，那个熟悉的于谦大爷又回来了。梁家辉看似云淡风轻，实则似乎笑中藏有深意（好帅的皱纹，土拨鼠尖叫），品出了一股暗流涌动的味道，犯罪动作喜剧题材，会是一场精彩的双雄大战吧！: 梁家辉、梁家辉犯罪动作喜剧
宁理老师真的是很敬业的演员，拍摄受伤遇到意外他都不谈，更喜欢说一些有意思的事，比如一开始他是本着鲨人去的[]，《流浪地球2》马兆真的让人头皮发麻，谢谢宁理老师。: 宁理老师拍流浪地球2马兆让人头皮发麻
现在真的需要舆论引导关注青少年的心理健康了，悲剧就源于不了解不重视。很喜欢最近的电影《深海》，它伟大的原因，在于一句简短的社会新闻，但是却可以变成一部波澜壮阔的艺术作品，被人理解和看见。我们从不指望一部电影能拯救什么，至少大声去喊直面，用尽全力在说坚持。记得里面的这句台词有的世界，这个世界看上去是灰色的。可是就算是这样，也一定有一些光亮在等着你。但，别让孩子们只有在梦境里才有五彩斑斓的世界。: 我们从不指望一部电影能拯救什么
导演没有去刻意煽情，没有悲伤至极的背景音乐，却让人鼻头一酸，这才是真正的没有修饰的真实历史，向每一位无名英雄致敬！《无名》真的做到了真诚真心对待每一位观众。北城耶啵: 北城耶<unk>:向每一位无名英雄致敬
《夏洛特烦恼》到现在还是我的电子榨菜，都快要盘包浆了！这次看到他们合拍视频直接梦回电影: 夏洛特烦恼合拍视频直接梦回电影
时间会给最好的答案用心的电影作品一定会带来好的反响！《无名》就是一部后劲很大的电影，会让你不停的反思，想要不停的二刷三刷！希望我们的中国电影越来越好！北城耶啵: 北城耶<unk>:希望中国电影越来越好
看深海幕后纪录被笑死，动画人哪有不疯的: 深海幕后纪录被笑死动画人哪有不疯
电影《消失的她》真的很敢拍，倪妮讲的东南亚传说想必很多人都有所耳闻吧！而且讲完还故意吓何非，笑的我都有点瘆得慌[笑]朱一龙这个邋遢的造型也拿捏的很好，各种小动作和小表情，都能到这个角色的心理活动，等不到端午了，现在就想看《消失的她》！: 《消失的她》倪妮讲东南亚传说
电影二创榜: 二二创榜
流浪地球年后的宣发阵仗: 流浪地球年后的宣发阵仗
可知道《流浪地球2》的马兆海鸥梗？: 《流浪地球2》的马兆海鸥梗?
你看《流浪地球2》了吗？专访中吴京@吴京透露《流浪地球2》中的削苹果片段，是源自吴京的童年经历爸爸吃皮，妈妈吃核，果肉留给老人和孩子在恶劣环境下，这是每个父母都会做的事情[]: 吴京谈《流浪地球2》中的削苹果片段
无名(2022)我的评分[星星][星星][星星][星星][星星]一两大主演，梁生一博，衬得起大荧幕！[]二镜头美学，程耳拿手，对得起好名声！[]三大牌云集，阵容豪华，撑得起大制作！[]四内有腔调，外有实力，对得起春节档！[]: 梁生一博对得起大荧幕
这不就是我的梦想吗？以后和朋友住一起，一起养老。: 以后和朋友住一起,一起养老
微博表白计划: 微博表白计划
曝观影故事！听心理专家聊《深海》】你不用是谁的姐姐，也不用装作已经长大的小孩。愿参宿们，每一份心底的渴望，都有回应每一声微弱的呼救，都能被听见。: 【观影故事!听心理专家聊《深海》
我正在听流浪地球电影原声大碟呢，突然在梦幻恢宏的众多音乐中冲出来一个极为接地气的音乐谁建立的歌单？[老师好]: 流浪地球电影原声大碟
那就再来回顾《功夫瑜伽》教授和小光的剧情最后一起跳舞的镜头真的很经典[哇]: 再回顾《功夫瑜伽》教授和小光的剧情最后一起跳舞的镜头
易烊千玺孙均侧颜四连拍真是太帅了！！我真的好喜欢玺子哥这个少年将军的形象，性张力满满！: 易烊千玺孙均侧颜四连拍
这波预告阵容太强了吧，不但有表面沙雕稚气怀有赤子之心的沙赞英雄携家族归来，更有致命女人刘玉玲联手奥斯卡影后海伦米伦演绎复仇女神与比利争夺众神之力！预告中海伦米伦起身一脚将沙赞踹出千里，沙赞集结神秘力量与龙正面对抗，这全方位升级的特效画面看起来又爽又疼！这场势均力敌的绝命对战，预示爽翻大银幕！我说这是开年最燃没人不同意吧3月17日，冲！: 沙赞英雄携家族归来
大家想想，如果马保国战胜了泰森，这意味着什么？: 如果马保国战胜了泰森,这意味着什么?
甄子丹邀请张伟丽参演乔峰传续集: 甄子丹邀请张伟丽参演乔峰传续集
也许你看这个世界有时候会是灰色的，但这个世界一定有一些光亮在等着你希望你的每一次笑都是真心的七年打磨一个作品，背后是许多人的孤注一掷和不计前行的后果。真的是一部很好很好的电影，但是从目前情况来看真的害怕它回不了本呀: 害怕它回不了本
评论区收集一下对球2主要角色的初印象现印象（空白表在2）: 球2主要角色初印象现印象(空白表在2)
困在心绪里的儿子内地定档224: 困在心绪里的儿子内地定档224
流浪地球2为何如此受欢迎: 流浪地球2为何如此受欢迎
电影《新蝙蝠侠》续集正式定档，将于2025年10月3日北美上映(这一部还是罗伯特帕丁森主演)，名为《》。: 《新蝙蝠侠》续集定档2025年10月3日
孩子们眼中的流浪地球2: 孩子们,流浪地球2
影片《深海》，感谢全国电影观众对中国电影的支持，感谢春节档所有影片为创造历史第二高票房做出的贡献，预祝《中国乒乓之绝地反击》取得成功。中国电影红红火火，爱生活，爱电影。: 电影《深海》获赞“中国乒乓之绝地反击”
