夕阳和宝宝[送花花]: 夕阳和宝宝[送花花]
上海大光明电影院(南京西路店): 大光明电影院(南京西路店)
我不想再和你做朋友了: 不想再做朋友了
45电影人生路不熟 更新一则范丞丞0616@范丞丞: 范丞丞电影人生路不熟
孙志愿者推广大使怡，很高兴今年和弟弟妹妹们一起，相聚在春日的北京，为北影节加油助力。期待与更多电影热爱的人并肩同行，享受热爱带来的无限乐趣！: 志愿者为北影节加油。
正义也许迟到，但永远不会缺席，好喜欢这种犯罪悬疑题材的电影，搬好小板凳坐等: 喜欢犯罪悬疑题材电影,搬小板凳等。
过去的一段时间王一博真的很忙碌，现在未来王一博依旧会很忙。目前王一博已上映电影《无名》票房和口碑双丰收，428日《长空之王》倒计时开始，暑假《热烈》，七月《人鱼》待拍，《维和防暴队》今年定档。一步步从电视走上了大荧幕，真正做到一人千面，面面惊艳: 王一博电影《无名》票房和口碑双丰收,暑假《热烈》等电影即将上映。
新海诚真的懂我们是想看什么的，从你的名字到天气之子再到铃芽之旅，真的每一个作品都打动观众的心，新海诚真的太厉害了: 新海诚作品打动观众的心。
女生怀孕了就一定要答应男方的求婚吗？: 女生怀孕后一定要求婚
终于补上了一张电影票！这个时候的莱昂纳多值得品一辈子女主也好漂亮赌赢那张船票，是我一生中最幸运的事情。我跟你们说我看的只有6个人然后他们没开空调我直接冻得牙齿打架脚都冻麻了真的肉丝冷的时候我也快冻死了不过真的值得去电影院去看！！！看巨幕！！我可以看一辈子（图片是我搜的: 赌赢莱昂纳多船票,是我一生中最幸运的事情。
看完泰坦尼克号重映我决定了以后每五年重映泰坦尼克号我都要去电影院看一次看太好玩了: 决定每五年重映泰坦尼克号
王一博的短片电影《我的朋友》继上一次入围柏林电影节获得了金熊奖的最佳短片提名，也在香港国际电影节展映。现又于3月28日入围了拉斯柏尔马斯国际电影节，届时将与其他12部影片一起参与最佳短片奖的角逐。记得上次柏林电影节提名颁奖当晚，因为时差问题，国内已经是半夜一点多了，可是全啵丝都在守着，整个超话都刷起了好运连连，当晚真的很感动，眼眶都湿润了，(相信大家应该还记得吧)后来虽没得奖，但是入围即肯定了，这已经是对一个新的电影人王一博演技的绝对肯定了。在我每一次看李默的戏份时，总会被他带入进去，带入到了那个年代，那一个情境，仿佛自己就是里面的李默，迫于现实的无耐还是要回归这样的生活。我好想继续看下去，想去了解李默之后的生活，他的点点滴滴这一次李默再次搭上蓝火车带着他的诗走向世界，这次希望他可以做自己想做的！: 《我的朋友》入围拉斯柏尔马斯电影节,期待李默的回归生活。
《检察风云》取材罪案公诉题材，真实的诉讼情节，还有专业人士的剧本加持，简直太期待了。黄景瑜白百何一起冲破层层迷雾，找寻真相，正邪较量，看点十足。4月29日，犯罪爽片《检察风云》，一起期待吧！: 《检察风云》取材罪案公诉题材,剧本加持,值得期待。
王一博@王一博北城耶啵: 王一博发布博主微博
又到一年清明，短假想去二刷《保你平安》了，一刷的时候被结尾向爱喝可乐的潇洒哥致敬的片尾彩蛋狠狠戳到了，看采访这部片子是当时潇洒哥鼓励大鹏拍下去的，真的很动容，和清明节适配度百分百了。: 《保你平安》片尾彩蛋戳中潇洒哥鼓励大鹏拍摄,适配度百分百。
《龙马精神》上海站路演现场图，成龙大哥、刘浩存、郭麒麟等主创现身与观众互动。: 《龙马精神》路演现场图发布
陈飞宇周也新片氛围感: 陈飞宇周也新片氛围感
演员于文文@于文文亮相电影《忠犬八公》首映礼，完整发言视频带了两包纸还不够用文文小哭包实锤了，听完评价，你想去看吗？: 于文文出席电影《忠犬八公》首映礼
二刷《铃芽之旅》之后，整理了一些细节分享给大家，也欢迎查漏补缺1、草太关门咒语的变化影片中草太最后一次关门喊出的咒语和之前的不同，哪怕再多一年，再多一日，再多一时也好，我辈仍愿人生得续体现了草太从甘愿牺牲到渴望活下去的改变。2、大臣的推特电影里铃芽通过刷推特了解大臣的行踪，而这些内容也真的可以在推特上搜到，都发生在22年的9月，童话照进现实了。3、铃芽的鞋子铃芽在东京不小心掉落了自己的鞋子，并且光脚走了一段，有几个特写很难不让人联想到新海诚的前作《言叶之庭》，也被网友戏称《足控之庭》。4、致敬吉卜力作为日本最出名的动画工作室，吉卜力影响了一代又一代动画迷，《铃芽之旅》中大臣因为自己坐列车让网友联想到《侧耳倾听》，而芹泽的怀旧歌单的第一首就放了《魔女宅急便》的插曲《口红的传言》，放歌的时候台词又了一下侧耳倾听，很明显是在致敬吉卜力。5、芹泽的歌单芹泽作为当代男大学生，听歌品味却相当复古，兜风歌单都是80年代，除了上面说的《口红的传言》之外，另一首《到梦中去》（夢中）是庵野秀明1998年的动画《他和她的事情》的片尾曲。6、梦幻联动《天气之子》《你的名字。》大臣上新闻的短视频用到了《你的名字。》中的《糸守高校》和《天气之子》中的《初访问》这两首配乐，片中芹泽的声优就是《你的名字。》中为泷配音的神木隆之介。7、大臣与左大臣作为资深铲屎官，新海诚早在1999年就制作过黑白动画短片《她和她的猫》，描述独居女子与她偶然拾获的猫的日常生活，后来在2016年改编成了动画《她与她的猫》，故事的结尾主角黑猫达尔转世成为了一只白猫，而《铃芽之旅》中也有白猫变黑猫、黑猫变白猫的设定。8、铃芽的房间铃芽的房间一开始是混乱的，象征她失序的内心，然后被草太整理好，说明草太是那个可以治愈她的人。而且房间里还有护理学的书，铃芽也帮草台很熟练地包扎伤口，说明她继承了妈妈的遗志。9、门的位置主角铃芽从宫崎出发，先后走过爱媛、神户、东京，最后到岩手县。这些门的位置代表著不同地区所发生的大型灾难，包括九州大地震、南海大地震、坂神大地震、关东大地震以及311大地震。10、屋顶上的船片中有一个场景，一艘船竟出现在屋顶上，这其实是参考了311地震的新闻画面，地震引发了强烈的海啸，让这艘观光船被冲上了屋顶。11、日本各地名产作为一部公路片，我们跟随铃芽的脚步也算游览了日本，各地特产也呈现在影片中，女主角居住在宫崎约在日南市位置，特产是日本龙虾，暗恋环阿姨的冈部稔就拿着一大盘龙虾出场，之后来到了爱媛与海部千果相遇时，出现了当地最出名的柑橘。12、现实中的品牌很多生活品牌被巧妙地置入这部电影中，铃芽家中出现过的高跟鞋，草太住所附近的便利店，环阿姨办公室桌面上出止痛药，小酒店老板娘载铃芽的车及车上吃的麦当劳，这些细节都增强了这个故事的现实触感。: 经典动画《铃芽之旅》细节分享,包括《到梦中去》和《你的名字》等动画短片中的故事。
超级小桀终于见到马力欧了: 小小桀见到马力欧
罗娜尔出场是谁一秒梦回《泰坦尼克号》了，卡梅隆甚至连女主凯特温斯莱特嘴角的痣都保留下来了[苦涩]，25年前海中漂浮求生，与爱人生离死别，25年后阿凡达2罗娜尔为了保护家人和部落海上大战拼死一搏，虽然你们冲的不是同一片海，但带给我们的是同样的感动和震撼，你卡神还是你卡神，承包了几代人的回忆啊，值得线上一个刷！: 梦回《泰坦尼克号》卡梅隆保留凯特温斯莱特嘴角的痣
电影《忠犬八公》最后半小时，八筒叼了一座报纸山的场面太刀了，哭到泪崩小狗不能说出口的话，都用行动来表达了，每一份报纸都承载了八筒对主人的忠诚和爱: 电影《忠犬八公》八筒叼报纸山场面精彩
你在看《泰坦尼克号》床头的照片，我在看《阿凡达2》大祭司洛纳嘴角边的那颗痣！在视频网站补《阿凡达2》的时候就觉得大祭司眼熟来着，火速查了一下发现扮演者真是同一个演员，卡梅隆保留演员的脸部小细节这算不算是个彩蛋[送花花]诶嘿，我要再去多刷几遍《阿凡达2》找其他细节彩蛋了: 在《阿凡达2》床头的照片,发现同一个演员。卡梅隆保留演员的脸部小细节,是个彩蛋。
的路演，成龙大哥一句台词让蛋蛋爆哭！原来，他也曾说过同样的话！4月7日，好电影等你来！妈本妈: 成龙曾说过同样的话,电影等你来!
真都来吃金鸡最多也就是二提就中三提还不中大概率这辈子都不可能了[666]: 金鸡二提或中三提
脱口秀演员何岸的长沙话段子来了，20秒告诉你什么是爱虽然但是，这份爱的捆绑谁遭得住啊: 何岸的长沙话,20秒告诉你什么是爱。
不懂该怎么用确定的方式赞美它的好，虽然作为电影，它在确定与浪漫间平衡得很令人惊讶。大概每个坐在影院里莫名落了泪的人，都是在某刻被宇宙辐射出的某种特殊频率，共振了。像一双手，把你从存在的荒芜和孤独的深处，从一首首诗的外部，拥进了无边的诗里，成为了组成它的字。所以浪漫才不是荒诞，浪漫是宇宙最大的慈悲。请大家都快去电影院快去电影院快去电影院吧。: 浪漫是宇宙最大的慈悲,快去电影院欣赏。
不愧是野蛮人，不愧是米歇尔罗德里格兹，聊保养都这么硬核，《龙与地下城侠盗荣耀》里聊斧子怎么保养，《速度与激情》里可能是聊摩托车怎么保养了！这位女战士在《龙与地下城》里的打戏依旧给力！这部片刷新爆米花片近几年的口碑，不仅做做到了该有的都有，而且很多场戏份都有不小的亮点，超出对商业片的预期，大银幕看更爽，明天又放假了，大家快冲！: 米歇尔罗德里格兹谈保养硬核,《龙与地下城侠盗荣耀》中的女战士打戏给力。
怎么回事！脑电波居然被接收住了！《宇宙探索编辑部》你未免太演我的精神状态了吧！荒诞的前往西南，寻找落满麻雀的石狮子！这究竟是谁想出来的好主意真的很想和老唐一起出发了！《宇宙探索编辑部》正在上映中，速去影院接收听见脑电波！: 《宇宙探索编辑部》脑电波被接收,想和老唐一起出发。
泣血案中案，罪不可赦。有恶必察，违法必究。: 泣血案中案,罪不可赦。
而且芭比预告片真的戳死我的笑点，感觉小时候谁手里还没有个（盗版）芭比娃娃，然后哈哈哈哈哈哈就这些哈哈哈哈哈哈哈哈比如芭比不穿高跟鞋她的还是那个弧度哈哈哈哈哈哈然后芭比和肯的屁股都是平的所以就算她俩一起过夜也啥都干不了。只能姐妹磨批。还有我们肯定都认识一个小孩一点不爱惜自己的芭比娃娃，把她的秀发剪成狗啃的，然后给她穿乱七八糟的裙子，还老让她劈叉这就是凯爷这个角色哈哈哈哈哈哈哈哈哈哈哈真的就好懂啊啊啊啊啊啊啊: 芭比预告片戳死笑点,回忆小时候的角色。
别看我们总是在呼吁，事实上我们依旧处于一个的世界。《不止不休》的导演王晶公然厌女破罐破摔了，依然有贾樟柯为他做监制并不遗余力地宣传。《宇宙探索编辑部》用伪纪录片的形式拍文艺片，镜头比娄烨更晃更不屑讨好观众，但依然有刚在主流影视圈获得巨大成功的郭帆为他做监制并客串。（怪不得有人说《宇宙》的内核是文艺荒诞版的《地球》，深表认同）。而同期上映的《脐带》，也是我认为这几部里拍得最好的，无论从票房还是排片，几乎是惨败，片方很穷，我也很少看到有明星或博主为她做宣传。最卖力的是姚晨。姚晨的坏兔子影业这几年一直在认真地做女性题材电影。映后谈时，听导演说，作为监制的姚晨大部分时间都在剧组，指导演员拍戏。前几天我又看了一遍《送我上青云》，我觉得是近十年里国内最具女性意识的电影。而豆瓣竟然才七分（要知道大烂球可是84分喔）。按照这个水分，我觉得它应该拿到88分。我认为一部好的女性意识的作品，并不是拍出了女人，而是把女人当人，拍出了人的普遍生存困境。从这一点讲，《送我上青云》的导演滕丛丛就做得很好。《爱情神话》做到了一半。其他导演，几乎没有。他们最大的进步是从逼人去死变为让50岁老年人自愿送死。滕丛丛绝对是国内最有才华的女导演之一，凭借《青云》获了许多奖。很可惜我去查了一下她的履历，从《青云》以后，四年以来她几乎杳无音讯，也没有任何新作的消息。而同年因《流浪烂球》出名的郭帆，已经拍出了更烂、投资更大、男演员阵容更强、圈钱更多的第二部，同时一边给知名厌女男博主点赞，一边给别的男导演做监制。的劳模一定非他莫属。在第一部时，很多人叫它小破球，因为没人投资导演很穷。但是就像《宇宙探索编辑部》的故事所展示的那样，一个中年男人，无论你有多么一穷二白多么不切实际，哪怕每天不用工作，不用顾家，妻子跑了，女儿死了，也依然有一整个社会制度为你兜底为你保驾护航，有无数男男女女助你探索宇宙完成梦想，只要你是男人。女人别说探索宇宙了，他们会说女孩子懂什么理科呀然后把你关进疯人院。: 《爱情神话》导演滕丛丛的创作建议,呼吁女性拍摄电影。
和几个朋友看完铃芽之旅，他们说女主莫名其妙爱上男主，拜托？！16岁的怀春少女哎！！在路上遇到大帅哥，肯定会幻想爱情啊！结果大帅哥还是个引发天地异象的奇人异士！我的妈呀，爱情加上拯救世界！哪个女孩不心动？！如果是我16岁遇到我立马爱上！哪里莫名其妙了！很靠谱啊！: 铃芽之旅:女主莫名其妙爱上男主,大帅哥引发奇人异士,女孩不心动。
各位的手，太巧了！王一通: 王一通作品展示
潜入大洋深渊拆除核弹竟意外发现外星人基地阿宁很优秀: 潜入大洋深渊发现外星人基地
预计的事先放搁置，确定的事我们多关注4月28日《长空之王》定档中国战机被搬上大银幕声画燃爽炸裂，顶级观影体验五一看电影，只看长空之王: 《长空之王》定档4月28日,中国战机搬上大银幕,五一看电影。
说句真心话，我是流着眼泪看完的，这个小狗狗，生活中我也想要一条这样的狗狗，真的很温暖，很感人，很治愈，让我痛痛快快哭了一场: 感人至深的狗狗,让我痛痛快快哭。
投稿 芹泽朋也铃芽之旅投稿理由185男大简简单单一件恤手臂肌肉紧实人又很幽默体贴还喜欢经典老歌看着不良实则是温柔靠谱的人民教师。芹环就是，磕到这年差17的年下恋第一口的时候怀疑自己，后来看环姨跑去芹泽面前哭，芹手足无措地安慰，嗯对味。喜欢老歌的现代潮男遇到昭和味熟女大姐姐，男公关女强人，新海诚仙品。: 芹泽朋也铃芽之旅投稿理由
《阿凡达2》中女祭司的扮演者是《泰坦尼克号》的女主角温斯莱特！这是卡梅隆与凯特继《泰坦尼克号》后的第二次合作，在《阿凡达2》中，卡梅隆特意保留了凯特嘴边的痣，再加上《阿凡达2》的剧情大多都发生在海洋中，一波回忆杀袭来！: 《阿凡达2》女祭司是温斯莱特,保留了凯特嘴边的痣,剧情一波回忆杀袭。
程耳——我最喜欢的导演王一博——我最喜欢的演员两个认真做事的人，值得喜爱和支持！《无名》非常棒，我永远爱！同时期待尽快开始二搭《人鱼》的拍摄！王一博@王一博香菜多好吃9785: 王一博喜欢《无名》期待二搭《人鱼》。
无名将于第25届远东国际电影节展映: 名名将出席第25届远东国际电影节展映。
导演好心提醒观众快跑，观众却还在底下哈哈大笑，结果悲剧了: 提醒观众快跑,观众哈哈大笑,悲剧了。
《宇宙探索编辑部》又名《化缘传承》，孔大山真是深得郭帆真传啊郭帆因为自己淋过雨，所以要给年轻人撑伞: 《宇宙探索编辑部》为孔大山撑伞
胡歌说没想到会和刘亦菲同台: 胡歌与刘亦菲同台
时光不改真心，光影致敬经典，热爱永恒。一起感受龙虎武师炽热真情，品味成长中的温暖，坚定心中的爱化作前行的勇气。感谢每一位观众，4月7日，和刘浩存@刘浩存不见不散: 感受龙虎武师炽热真情,刘浩存感谢观众。
接四月好消息！北影节今日官宣举办时间4月2229日，还记得上一届范丞丞0616@范丞丞0616和肖央@肖央携《拨云见日》亮相北影节红毯，不知道这次红毯和开幕式，能不能看到五一档的《人生路不熟》剧组呢？除了爆笑组合演员乔杉@演员乔杉和演员马丽@演员马丽，强烈要求想看青春和疼痛的两位主角范丞丞和张婧仪@张婧仪的同框了，疯狂暗示组委会！: 北影节官宣范丞丞和张婧仪,暗示组委会,期待五一档《人生路不熟》。
有谁会不相信我们的李玉刚呢？这一次适应导演的新身份，处女作《云上的云》终于开机了，主创团队都是一些非常优秀的演员，相信以李玉刚的水平一定会让我们看到一个宏大的东方美。: 李玉刚新片《云上的云》开机
第96刷感觉现在差不多能默写出99的英文字幕了，离实现默写出全部英文字幕这一目标就差一点点了[奋斗]明天再过一遍就没啥问题了[流浪地球2][流浪地球2][流浪地球2]: 996刷能写出99的英文字幕,离实现目标差一点点。
林心如在新电影《模仿犯》中饰演的新闻主播也太酷了吧！怒斥罪犯是个在生活中的无名小卒，只敢欺负弱小是因为只是个无能无用无存在感的社会寄生虫罢了，姐姐又酷又飒的演技惊艳到我了: 林心如在电影《模仿犯》中饰演的新闻主播,因她在生活中的无名小卒,演技惊艳。
养狗的人就是看到这种电影，忍不住就会流下眼泪，狗狗炽热的爱，谁能拒绝啊，反正我是看哭了！哭到根本停不下来的程度: 电影《狗狗的爱》让人感动
一个人去小影院看《宇宙探索编辑部》，然而先前在学校点映的导演交流环节永远永远补不回来了。教训——永远不应该因为一个电影离谱的海报去低估它。很久没有流过那么多泪，一直自认为哭点挺奇怪的，比如去年冬天看韩国的《国际市场》那场重逢就完完全全没感觉，朋友哭的稀里哗啦我面无表情给她们递纸，弄得很尴尬。我认为这部电影是个奇迹，相当于一个剧组的人凑在一起，写了一首长诗。然而在这个诗歌贫血的土地上看到这样的作品，那种震撼，把久久你按在座位上吸着鼻子看完所有字幕还不肯离去的力量，就像你已经习惯于遥望远岸霓虹，回身却发现近处一片星火。《编辑部》在许多方面我认为还是有瑕疵，比如象征手法稍微有点不自然、运镜为了贴纪录片切的太碎、镜头扫视带来的没必要的嘲讽（重复使用）。归根结底可能还是不太自信，所以没法更纯粹。然而它做到了大部分电影做不到的——仰望星空。有些青涩有些鲁莽，更有无限的力量与无尽的柔情。《宇宙编辑部》渴望对话的并不是普通的价值，而是塔可夫斯基、拉丝风提尔、胡波、贝拉塔尔、阿巴斯与佐杜洛夫斯基。我相信另一个不再受票房钳制的宇宙，《编辑部》文本及影像所蕴含的可能性，足以将它引向一条朝着诗电影一路高歌猛进的康庄大道，直到这部电影远远地变成半人马座星云中的一颗乙醇星星。就像佐杜洛夫斯基的《现实之舞》一样。我很喜欢子戈老师的影评，但我觉得对唐志军的总结不太准确——这不是一个科学家学会写诗的过程，而是一个天生的诗人与自己诗本能和解的过程、一场认清科学最终只是作为他对生命意义执念的媒介 的旅行。*诗*作为最高的艺术形式，它的前提正是唐志军的那种无条件的相信。只不过唐志军最开始无比地相信科学和地外生命，却未曾想过这种原始的相信的无条件实际上并不来源于科学，因为主流推崇的科学乃供奉实证主义认识的殿堂，而唐志军对未解之谜的无端迷狂，更像是一种内嵌于灵魂深处先验拷问。《编辑部》是一部很好地描写孤独、深刻地探讨理性全知不可能性的作品。两个命题既发生在人与人之间，也是对整个人类文明自我矛盾性的总体概括。在人与人之间，《编辑部》的处理是我见过最独特的，比较多笔墨在唐志军和秦彩蓉之间，他们之间这团你永远无法准确概括的空气。秦在电影中无时无刻不在抗议唐的各种离谱行为，然而正是这团带着怨气的空气好气好笑神奇地凝合了整个小队，然而打散小队的同样也是秦彩蓉积怨的爆发。相似的微妙发生在其他成员之间，它既是一种弥漫始终的疏离，好像电影中每个人都像踏入安哲镜头下稠雾，即使肩并肩，个体孤独也并未削减分毫。同时这种孤独又在每个人身上滋生一种更深刻的内在牵引，使他们自己也无从解释为何带着谜一样的笃信，在有个头顶不锈钢锅的男孩的村子里住到日全食来的那一天。我认为集体催眠似的一致性不能视为人物平面化的败笔，而应该用像看待《大象席地而坐》一样的眼光去细看每一个个人，你会发现他们每个人好像都有各自的理由，他们试图去触碰的那个荒诞也不是命运的巧合，而是疗愈的注定。最后的篇章，对小团队内部状态的凝视退场。你可以说导演更进一步，将聚光灯打向老唐灵魂的更深处，同时也不得不承认，似乎多了一个退远一万步的眼睛鸟瞰着人类整体的存在。那是一种决堤般的孤独的溢出前半部较为客观，纪录片式的第三人称观察老唐的言行表象。然而从戴锅少年开始，被囚禁在主体内部的孤独逐渐消融其边界，仿佛借一场日蚀砸监反狱——一浪盖一浪蔓生到现实中来。在老唐食了毒蘑菇后孙一通的告别诗中，孤独借助诗的想象像《闪灵》里的血潮般袭击了现实，让理性自持的高傲彻底坍塌。我还要继续向前，而你只能留在这儿与其说是对老唐毕生科学追求的否定，不如说是像康德所做的一样，让一切变得明晰并非鼓吹一种神秘学与不可知论，或者企图说不可说的东西，而仅仅试图为*能够被言说或被询问的东西*规定一个边界。（亨利阿利森《康德的先验观念论》）理性必须在这个边界内恪尽职守，对边界外的一切保持敬畏，这并不意味着面对认知的屋顶我们无能为力，不然唐志军是不会笑的。他的笑是身份的释然因为在这房顶之上是无限苍穹，一片只能用艺术的想象力去体会和捕捉的超验世界，它甚至发明了回答了人类孤独的语言，那就是诗。唐志军终于明白，他不是民科偏执狂，不是失败的科学笑话。他只是个用电视雪花点和星宿名称、天象知识写诗的人。我们最后也没能知道他写给女儿的是什么，但我们似乎都接受了，因为诗可以不是语言，不是任何依赖于时间和空间，抽象或实在的东西。诗是那个生活的角质层上顽固拒绝着愈合的裂痕。: 《宇宙探索编辑部》的影评分析,认为唐志军的影评有瑕疵。
3最震撼的一幕就是在露丝的第一视角回到大厅，杰克伸出了手。真的就是夜来幽梦忽还乡，小轩窗，正梳妆金风玉露一相逢便胜却人间无数君子死而冠不免最近两年看了遍还是一样的震撼，爱情、人性、生死观、勇敢和无畏与影片心跳同步的共情，尤其是那群面对死亡依旧坦然的人每次看完之后都有一种后无来者的失落: 露丝第一视角回到大厅,杰克伸出手,金风玉露一相逢,人间无数君子死而冠。
草太在机场睡着了。睡相一如既往地惊人: 太太在机场睡觉
2马来西亚电影院官方网站在确定长空之王即将登入马来西亚，浩瀚长空，期待相见马来西亚的小摩托们在哪里！让我们一起整装待发！王一博@王一博: 马来西亚电影院确定长空之王即将登马,王一博期待相见。
这个封神的氛围感，这个立体度满分的侧脸，是我这种土狗配看的吗？520才能在影院看到李燃，为什么不是今天？《这么多年》成功吊起了我的胃口[开学季][开学季]！: 电影《这么多年》成功吸引观众。
迪士尼真人版《星际宝贝》确定了主演，是一个此前没有表演经历的新人女孩玛雅。: 迪士尼真人版《星际宝贝》主演确定
喜欢你就想每天都能看见你爱就要说出来王一博听见了吗王一博@王一博: 王一博爱爱表达,微博寻找爱。
去北京出差，有幸参加了《龙马精神》的首映礼，终于见到了成龙大哥，说说电影，这是一个落魄武师和他的爱马赤兔的故事，温馨中夹杂着搞笑，郭麒麟贡献了很多笑点，看的时候有很多感触，一幕幕致敬经典的镜头闪过，因为他是成龙所以很多故事背景都可以成立，这个角色让他来演多了份信任，戏里的他拼了一辈子，和自己较劲了一辈子，到最后一刻为了家人为了爱马赤兔终于刹住了车，正如电影里罗智龙说的，龙虎武师的精神里还有兄弟和家人，还是值得一看的: 参加了《龙马精神》首映礼,见到了成龙大哥,讲述了武师和爱马赤兔的故事。
有多好看呢，作为个喜剧编剧在电影院的感觉是被人劈头盖脸一顿打，然后眯着眼一边吐牙一边竖起大拇哥说打的好，的那种好。打完人家回头跟你抱歉说对不起啊，打你不是我本意。的那种好。: 喜剧编剧电影院被打,竖大拇哥称赞。
倒数说爱你全员原声爱情宣言: 倒数说爱你全员原声爱情宣言
长津湖伍妈饰演者曹阳聊易烊千玺，她的小孙女特别喜欢千玺想让他签名，他说我才二十岁我有什么资格给任何人签字，但是老妈你让我签，我给咱家孩子签，易烊千玺一直都是这么低调谦逊: 曹阳聊易烊千玺,孙女想让他签名。
第一次有试飞员为视角的电影，希望《长空之王》能够让更多的人认识、了解试飞员，他们也很伟大。有卫视报道了《长空之王》的点映活动，是一次特别有意义的点映活动，致敬航空人的专场，真好。王一博雷宇电影院见。暑假《热烈》、《维和防暴队》待定档，《人鱼》待拍。: 卫视报道《长空之王》点映活动,致敬航空公司专场,王一博在电影院观影。
2023惊悚悬疑片，一场千亿美金的豪华盛宴，背后却夹杂着复杂: 豪华盛宴背后复杂复杂
近期流媒体最爽的一部电影《俄罗斯方块》，豆瓣81分，烂番茄观众打分92。说实话，我真的不知道，小时候沉迷的掌机游戏俄罗斯方块背后有一段这么惊心动魄的故事。电影由出品，蛋蛋塔伦艾格顿主演，高分美剧《黑胶时代》导演乔拜尔德执导，高分剧集《天才》编剧执笔。电影讲述任天堂荷兰裔游戏设计师为了获得俄罗斯方块的版权，深入冷战时期的苏联，与苏联官方进行版权接洽的故事。期间，混入西欧媒体帝国、苏联政府官方、等争夺版权的过程，一场商业行为堪称一场世纪谍战。受限于当时的冷战背景，撇去美帝电影一贯的偏见眼光，一部游戏代理版权的争夺，拍出了美苏谍战的惊心动魄《逃出德黑兰》险象生还的紧张刺激，配乐、节奏把紧张氛围嗨到飞起来，中间转场用像素游戏的手法更是别具一格。除了牛逼，想不到更恰当的词语。片尾的现实镜头一一闪过，不胜唏嘘，它们离我们很近，又恍如隔世。推荐！！: 推荐电影《俄罗斯方块》和《黑胶时代》电影。
电影《暴风》开启线上团建！电影取景汕头，讲述了上世纪30年代风云变幻时局之下的热血故事。直播中的大家氛围和状态都太好了吧最后还用方言的方式为大家送上祝福！共同期待4月14日电影《暴风》正式上映吧！！！: 电影《暴风》线上团建,取景汕头,用方言送祝福。期待4月14日电影上映。
第一次见马丽老师就很亲切，戏内是母女，戏外是姐妹，看的出来张婧仪拍这部戏每天都很开心，不愧是喜剧。: 张婧仪与马丽老师拍母女戏
由叫兽易小星@叫兽易小星导演，演员乔杉@演员乔杉、范丞丞0616@范丞丞0616领衔主演，演员马丽@演员马丽张婧仪@张婧仪特别出演，演员常远@演员常远演员田雨@演员田雨小演员张熙然@小演员张熙然特邀出演，尹正@尹正张磊演员@张磊演员201小爱@201小爱友情出演，4月28日，欢乐出发一路笑闹，欢乐筑牢！拿小本本记好喽！上映倒计时一个月啦！: 叫兽易小星、范丞丞、马丽张婧仪领衔主演,上映倒计时一个月。
在横店开机。硬核班底打造武侠视觉盛宴，致敬经典承袭中华传统文化: 横店开机,打造硬核班底,致敬经典。
铃芽之旅大臣和草太的关系: 铃芽之旅大臣和草太的关系
6 所有的痛我一个人来背，你去飞吧。: 独自背痛,去飞吧
哈哈哈哈哈哈哈哈笑发财了，像是郭导能做出来的事，不确定再看看: 哈哈哈哈笑发财,像郭导能做出来的事。
快换上热气腾腾的新款表情包，火速加入长沙的群聊，做整个群里最靓的崽: 新款表情包加入长沙群聊
《了不起的夜晚》看物料以为是烂片，被骗去竟然还不错！第一次被宣传物料反向欺骗的，不抱期待去看了，出乎意料的还挺好看！: 《了不起的夜晚》被骗看物料好看
80部豆瓣高分电影推荐，码住慢慢看！: 豆瓣高分电影推荐
原来宇宙探索编辑部是王俊凯2021年在平遥国际电影展上颁奖的啊。晕了，从万里归途到现在，好像年度挚爱片单都跟他有关，什么奇妙的缘分。: 王俊凯在平遥电影展上颁奖,与年度挚爱片单有关。
听说很多人看了电影没认出来我们豹哥是范丞丞0616@范丞丞0616？何止你们没认出来，连面对面拍戏的群演们也有没认出的小声小夜晚第一次看也没认出来: 电影未认出,豹哥范丞丞未现身。
微博之夜，王一博星光耀眼。潜心投入影视拍摄的王一博，无论从敬业程度，产出量还是口碑，都是非常突出，得到业内好评如潮。如果说冲上93亿的《无名》凭借文艺片第一就值得惊艳，那么接下来428《长空之王》这部题材突出的影片，一定更值得期待。本色出演的《热烈》定档暑期。什么叫让自己飞得更高、更强，王一博完美诠释！: 王一博电影《热烈》定档暑期,本色出演《热烈》。
网友投稿27 官方设定14删减剧情补充门框机器人的禁止晾晒和红色床单师徒日常培强问张鹏能不能挂衣服，张鹏说能。然后门框就被大兵叫走，洗好的衣服被扔一地，张鹏又回来责怪培强，后面就因为这事出了禁止晾晒的规定猿人影视的视效解析删减剧情整理合集其实门框机器人有设计可以用来甩干的功能: 官方设定14删减剧情补充门框机器人禁止晾晒和限制晾晒功能。
7 离开以后，你会不会记起我？会不会怀念我？: 离开后,你会不会怀念我?
希望韩国人不要把我国的科幻工业文化《流浪地球2》偷走，这是我们中华文明伟大文化的一部分，不是你们想抄就能抄的。你们拍的《胜利号》好莱坞注资，投资240亿韩元，也才14亿人民币。我们的《流浪地球2》投资了近13亿人民币，看看就好，别抄，抄不来的。: 韩国人不要想抄《流浪地球2》。投资13亿,看看就好。
电视的雪花是宇宙的余晖。——《宇宙探索编辑部》: 宇宙余晖的雪花
心动告白，4月28日，为爱奔赴。2028: 表白计划,2028为爱奔赴
迪士尼真人电影《小美人鱼》爱丽儿扮演者主演哈莉贝利网友对《小美人鱼》预告的反应令我非常感动，我哭了足足有5小时。希望让每个人都能感到开心，期待去看到这部电影！: 哈莉贝利主演《小美人鱼》预告感动网友
